operator,model,suite,aliases,global_seq,cp,local_tokens,hidden,projection_width,q_heads,kv_heads,head_dim,max_context,within_native_context,b_m,b_n,b_k,w_m,w_n,w_k,warmup,iterations,timing,process_model,cublas_b_p50_ms,cublas_w_beta0_p50_ms,cublas_w_beta1_p50_ms,cublas_total_beta0_p50_ms,cublas_total_beta1_p50_ms,cublas_total_beta0_p50_tflops_per_gpu,cublas_total_beta1_p50_tflops_per_gpu,eager_deferred_requested_comm_ctas,eager_deferred_weight_accumulation_beta,eager_deferred_comm_ctas,eager_deferred_gemm_policy,eager_deferred_tile_m,eager_deferred_tile_n,eager_deferred_data_phase_p50_ms,eager_deferred_data_phase_p95_ms,eager_deferred_data_phase_p50_tflops_per_gpu,eager_deferred_weight_phase_p50_ms,eager_deferred_weight_phase_p95_ms,eager_deferred_weight_phase_p50_tflops_per_gpu,eager_deferred_total_p50_ms,eager_deferred_total_p95_ms,eager_deferred_total_p50_tflops_per_gpu,eager_deferred_mfu_percent_of_989t,eager_deferred_throughput_as_cublas_percent,eager_deferred_forward_p50_tflops_per_gpu,eager_deferred_throughput_as_forward_percent,eager_immediate_requested_comm_ctas,eager_immediate_weight_accumulation_beta,eager_immediate_comm_ctas,eager_immediate_gemm_policy,eager_immediate_tile_m,eager_immediate_tile_n,eager_immediate_total_p50_ms,eager_immediate_total_p95_ms,eager_immediate_total_p50_tflops_per_gpu,eager_immediate_mfu_percent_of_989t,eager_immediate_throughput_as_cublas_percent,eager_immediate_forward_p50_tflops_per_gpu,eager_immediate_throughput_as_forward_percent,graph_deferred_requested_comm_ctas,graph_deferred_weight_accumulation_beta,graph_deferred_comm_ctas,graph_deferred_gemm_policy,graph_deferred_tile_m,graph_deferred_tile_n,graph_deferred_data_phase_p50_ms,graph_deferred_data_phase_p95_ms,graph_deferred_data_phase_p50_tflops_per_gpu,graph_deferred_weight_phase_p50_ms,graph_deferred_weight_phase_p95_ms,graph_deferred_weight_phase_p50_tflops_per_gpu,graph_deferred_total_p50_ms,graph_deferred_total_p95_ms,graph_deferred_total_p50_tflops_per_gpu,graph_deferred_mfu_percent_of_989t,graph_deferred_throughput_as_cublas_percent,graph_deferred_forward_p50_tflops_per_gpu,graph_deferred_throughput_as_forward_percent,graph_immediate_requested_comm_ctas,graph_immediate_weight_accumulation_beta,graph_immediate_comm_ctas,graph_immediate_gemm_policy,graph_immediate_tile_m,graph_immediate_tile_n,graph_immediate_total_p50_ms,graph_immediate_total_p95_ms,graph_immediate_total_p50_tflops_per_gpu,graph_immediate_mfu_percent_of_989t,graph_immediate_throughput_as_cublas_percent,graph_immediate_forward_p50_tflops_per_gpu,graph_immediate_throughput_as_forward_percent
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,1024,4,256,4096,4096,32,8,128,,True,256,4096,4096,4096,4096,256,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.02246399969,0.02918400057,0.03316799924,0.05166399851,0.05563199893,332.53076957786556,308.8127249502016,0,1,12,m128n128,128,128,0.04153599963,0.04354079813,206.80697872974244,0.03313599899,0.03421119973,259.2327032178003,0.07476799935,0.07699520141,229.77569726827255,23.233134203060928,74.4061622801734,212.28585467061046,108.23881677128225,0,0,12,m128n128,128,128,0.06679999828,0.06808319688,257.1836770412564,26.00441628324129,77.34131712615368,212.28585467061046,121.14970045475278,0,1,12,m128n128,128,128,0.03732800111,0.03825759888,230.1204012153438,0.03107200004,0.03172960132,276.4525804886038,0.06835199893,0.06950719655,251.344063859699,25.413959945368955,81.3904491468835,225.19753096884642,111.6104882581815,0,0,12,m128n128,128,128,0.06110399961,0.06185920164,281.1578504459865,28.428498528411176,84.55092766389863,225.19753096884642,124.8494373967544
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,1024,8,128,4096,4096,32,8,128,,True,128,4096,4096,4096,4096,128,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.0212159995,0.02718400024,0.02831999958,0.04836799949,0.04961599782,177.59540776078518,173.12832492380983,0,1,10,m128n64,128,64,0.03599999845,0.03698080033,119.30465224783919,0.03351999819,0.0338416025,128.13148949636027,0.06948800385,0.0707551986,123.61751836392695,12.499243515058337,71.40224941142846,133.94983552874618,92.28642788247257,0,0,10,m128n64,128,64,0.06150399894,0.06632160395,139.6646517306928,14.121805028381477,78.64204006829739,133.94983552874618,104.26638538180228,0,1,10,m128n64,128,64,0.03097599931,0.03144159913,138.6546807745264,0.03116800077,0.03177599981,137.80053869011758,0.06209600344,0.06297919899,138.33313121833982,13.987172013987848,79.90207915383999,148.47093558953094,93.1718593063773,0,0,10,m128n64,128,64,0.05580800027,0.05704160035,153.9194120993721,15.563135702666541,86.66857664849995,148.47093558953094,103.66972598926988
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,4096,4,1024,4096,4096,32,8,128,,True,1024,4096,4096,4096,4096,1024,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.05033599958,0.05782400072,0.06348799914,0.1082399935,0.1139200032,634.8806435950127,603.2257268756819,0,1,10,m128n160,128,160,0.08001600206,0.08195839822,429.41083637539595,0.0631679967,0.06369759887,543.9421884974864,0.143215999,0.1449327916,479.83100502619124,48.516785139149775,79.54418779706309,466.84427130434784,102.78181280570476,0,0,10,m128n160,128,160,0.131776005,0.1333504021,521.4870244093377,52.72871834270351,82.13938000321076,466.84427130434784,111.70470678633792,0,1,10,m128n160,128,160,0.07548800111,0.07661120594,455.1682103481783,0.06105599925,0.06168159842,562.7577763048404,0.1365439892,0.1379871964,503.27720127866314,50.88748243464743,83.4309908971079,485.7460911289593,103.60910987651151,0,0,10,m128n160,128,160,0.1261599958,0.127263993,544.701006846419,55.07593598042659,85.79581254234633,485.7460911289593,112.1369820147061
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,4096,8,512,4096,4096,32,8,128,,True,512,4096,4096,4096,4096,512,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.03774400055,0.04704000056,0.04820799828,0.08473599702,0.08600000292,405.4916396379943,399.5318279228728,0,1,22,m128n160,128,160,0.06390400231,0.06553120166,268.8387043531327,0.05375999957,0.05459360033,319.5660216036717,0.1177439988,0.1212944016,291.81732163151236,29.50630147942491,73.03981841663085,281.3051703108177,103.73692076440673,0,0,22,m128n160,128,160,0.107408002,0.1095807999,319.89924147364735,32.34572714597041,78.89169842299086,281.3051703108177,113.7196451526954,0,1,22,m128n160,128,160,0.05855999887,0.05923200026,293.37208872114854,0.05153600127,0.0523872003,333.35665865874427,0.110047996,0.1109151989,312.2250255970132,31.569770030031666,78.1477228535811,287.7121705743349,108.51992287074454,0,0,22,m128n160,128,160,0.1009920016,0.1018095985,340.22237230319433,34.400644317815406,83.9036712586554,287.7121705743349,118.2509490731789
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,16384,4,4096,4096,4096,32,8,128,,True,4096,4096,4096,4096,4096,4096,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.1718879938,0.1782720089,0.1816319972,0.3502240181,0.3536320031,784.8630954417115,777.2992956926189,0,1,10,m128n256,128,256,0.2252160013,0.2269552052,610.253945894918,0.1777279973,0.1785552055,773.3106520072175,0.4029759765,0.4059807956,682.1198358557734,68.97066085498214,87.755107927631,602.8024275087719,113.15811030735229,0,0,10,m128n256,128,256,0.3901439905,0.3936879933,704.5550197805751,71.23913243484076,89.76788740258706,602.8024275087719,116.87992410586676,0,1,10,m128n256,128,256,0.2199200094,0.2216496021,624.9497435316134,0.1736960113,0.1745056063,791.2614253105764,0.3936799765,0.3954863846,698.2267916895184,70.59927115161966,89.82727702941732,610.9918745174953,114.27759039200205,0,0,10,m128n256,128,256,0.3817279935,0.38445279,720.0884179954699,72.80974903897571,91.74700940553369,610.9918745174953,117.85564555406386
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,16384,8,2048,4096,4096,32,8,128,,True,2048,4096,4096,4096,4096,2048,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.1148640066,0.1219519973,0.1252799928,0.2380959988,0.2406720072,577.2417603180654,571.0633117285938,0,1,10,m128n256,128,256,0.1825760007,0.1869343966,376.3883340226983,0.1285919994,0.1317759901,534.3993176608155,0.3115360141,0.3201983869,441.1655386586652,44.607233433636516,77.2533499522616,356.6359897594288,123.70191212509324,0,0,10,m128n256,128,256,0.2956959903,0.2976880074,464.7981642651311,46.9967810177079,80.52053683867624,356.6359897594288,130.3284518701166,0,1,10,m128n256,128,256,0.1752640009,0.176276803,392.09122457046453,0.1256479919,0.1265279949,546.9206128713307,0.3010240197,0.3019551933,456.5713845990477,46.164952942269736,79.95109740407206,371.344222299143,122.95098649232474,0,0,10,m128n256,128,256,0.291087985,0.2923696041,472.15605093422187,47.740753380608886,81.7951997572143,371.344222299143,127.14781127087743
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,131072,4,32768,4096,4096,32,8,128,,True,32768,4096,4096,4096,4096,32768,10,50,per-sample max-rank CUDA event,MPI one process per GPU,1.433295965,1.44939208,1.493119955,2.875455856,2.916559935,764.7563953949985,753.9784213458997,0,1,10,m128n256,128,256,1.497904062,1.57953763,734.0334108633988,1.386271954,1.391960025,793.1428062173724,2.89455986,2.965428829,759.7090272481012,76.81587737594552,100.76004905975584,723.2258850198338,105.04450172262113,0,0,10,m128n256,128,256,2.952928066,2.978972912,744.692456572696,75.29751835922103,97.37642745544618,723.2258850198338,102.96816969601046,0,1,10,m128n256,128,256,1.543600082,1.571239948,712.3034266436375,1.396271944,1.41022563,787.4623797325257,2.941712141,2.978964806,747.5317604680614,75.58460672073421,99.14498071890033,714.3470574939213,104.64545946203782,0,0,10,m128n256,128,256,2.966592073,3.004166365,741.262432258916,74.95070093618968,96.92791544110621,714.3470574939213,103.76782888410284
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,131072,8,16384,4096,4096,32,8,128,,True,16384,4096,4096,4096,4096,16384,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.8379679918,0.8118560314,0.8126400113,1.651328087,1.650543928,665.8347523014063,666.1510845750722,0,1,10,m128n256,128,256,0.9217600226,0.9269120097,596.4196758472003,0.8085759878,0.8107119799,679.9061834420703,1.729151964,1.735473514,635.8675528046302,64.29398916123662,95.45395444492004,587.2832110757397,108.27272784452624,0,0,10,m128n256,128,256,1.724560022,1.736251235,637.5606611249626,64.46518312689207,95.75358734600192,587.2832110757397,108.56102287636124,0,1,10,m128n256,128,256,0.9079999924,0.9210352302,605.4579498782824,0.79648,0.8028224111,690.2317872237846,1.704416037,1.720921636,645.0958005014359,65.22707790712192,96.83926295983332,591.9704141598634,108.97433132988058,0,0,10,m128n256,128,256,1.709392071,1.726150393,643.2179290107401,65.03720212444289,96.60323778347514,591.9704141598634,108.6571074541974
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,262144,4,65536,4096,4096,32,8,128,,True,65536,4096,4096,4096,4096,65536,10,50,per-sample max-rank CUDA event,MPI one process per GPU,2.868671894,2.950111866,3.001999855,5.867759705,5.87494421,749.5273719808878,748.6107703998094,0,1,10,m128n256,128,256,3.110687971,3.128383875,706.9250519669047,2.769984007,2.798615932,793.8757949485879,5.865887642,5.921006203,749.7665791642179,75.81057423298462,100.15439381987399,689.2729332233869,108.7764429770849,0,0,10,m128n256,128,256,5.910480022,5.959905624,744.1098683581678,75.23861156300988,99.27721070300574,689.2729332233869,107.95576505207245,0,1,10,m128n256,128,256,3.293024063,3.504764795,667.7823221093178,2.789151907,2.822868824,788.4200390925499,6.084784031,6.248257637,722.7941844274801,73.08333512916886,96.55140067534141,696.5600200953065,103.76624606284237,0,0,10,m128n256,128,256,5.911536217,6.006625652,743.9769206617381,75.22516892434157,99.25947316580569,696.5600200953065,106.80729573884298
oproj,representative_small,artificial,Mx4096x4096 OProj stress shape,262144,8,32768,4096,4096,32,8,128,,True,32768,4096,4096,4096,4096,32768,10,50,per-sample max-rank CUDA event,MPI one process per GPU,1.605423927,1.58664,1.58779192,3.200880051,3.198447943,687.0058298076475,687.5282307985339,0,1,10,m128n256,128,256,1.79590404,1.824734449,612.2329496936819,1.587631941,1.58969605,692.5481904095806,3.383888006,3.412278414,649.8510741646572,65.7078942532515,94.51991133656922,621.5357276523664,104.55570697749623,0,0,10,m128n256,128,256,3.369264126,3.39949131,652.6716734917088,65.9930913540656,95.00234862263807,621.5357276523664,105.00951827129029,0,1,10,m128n256,128,256,1.788560033,1.796392083,614.7468396304034,1.578992009,1.581819177,696.3376771440013,3.363168001,3.371572733,653.8547152262822,66.11271134745017,95.10223521539743,625.2113322886962,104.58139215627008,0,0,10,m128n256,128,256,3.365871906,3.398681641,653.3294542885079,66.05960104029403,95.09809465102086,625.2113322886962,104.49737881379731
