operator,model,suite,aliases,global_seq,cp,local_tokens,hidden,projection_width,b_m,b_n,b_k,w_m,w_n,w_k,q_heads,kv_heads,head_dim,warmup,iterations,timing,te_userbuffers_schema,te_userbuffers_numerical_contract,transformer_engine_version,transformer_engine_path,torch_version,torch_cuda_version,nccl_version,device_names,device_sm_counts,cublas_workspace_config,eager_immediate_fused_p50_ms,eager_immediate_fused_p95_ms,eager_immediate_fused_p50_tflops_per_gpu,eager_immediate_te_userbuffers_p50_ms,eager_immediate_te_userbuffers_p95_ms,eager_immediate_te_userbuffers_p50_tflops_per_gpu,eager_immediate_te_userbuffers_data_p50_ms,eager_immediate_te_userbuffers_weight_p50_ms,eager_immediate_forward_p50_tflops_per_gpu,eager_immediate_cublas_p50_ms,eager_immediate_cublas_p50_tflops_per_gpu,eager_immediate_fused_speedup_over_te_userbuffers,eager_immediate_fused_throughput_as_forward_percent,eager_immediate_fused_throughput_as_cublas_percent,eager_immediate_te_userbuffers_throughput_as_forward_percent,eager_immediate_te_userbuffers_as_cublas_percent,eager_immediate_te_userbuffers_config,eager_immediate_te_userbuffers_numerical_contract,eager_immediate_te_userbuffers_unpack_kernel,eager_immediate_weight_accumulation_beta,eager_deferred_fused_p50_ms,eager_deferred_fused_p95_ms,eager_deferred_fused_p50_tflops_per_gpu,eager_deferred_te_userbuffers_p50_ms,eager_deferred_te_userbuffers_p95_ms,eager_deferred_te_userbuffers_p50_tflops_per_gpu,eager_deferred_te_userbuffers_data_p50_ms,eager_deferred_te_userbuffers_weight_p50_ms,eager_deferred_forward_p50_tflops_per_gpu,eager_deferred_cublas_p50_ms,eager_deferred_cublas_p50_tflops_per_gpu,eager_deferred_fused_speedup_over_te_userbuffers,eager_deferred_fused_throughput_as_forward_percent,eager_deferred_fused_throughput_as_cublas_percent,eager_deferred_te_userbuffers_throughput_as_forward_percent,eager_deferred_te_userbuffers_as_cublas_percent,eager_deferred_te_userbuffers_config,eager_deferred_te_userbuffers_numerical_contract,eager_deferred_te_userbuffers_unpack_kernel,eager_deferred_weight_accumulation_beta,graph_immediate_fused_p50_ms,graph_immediate_fused_p95_ms,graph_immediate_fused_p50_tflops_per_gpu,graph_immediate_te_userbuffers_p50_ms,graph_immediate_te_userbuffers_p95_ms,graph_immediate_te_userbuffers_p50_tflops_per_gpu,graph_immediate_te_userbuffers_data_p50_ms,graph_immediate_te_userbuffers_weight_p50_ms,graph_immediate_forward_p50_tflops_per_gpu,graph_immediate_cublas_p50_ms,graph_immediate_cublas_p50_tflops_per_gpu,graph_immediate_fused_speedup_over_te_userbuffers,graph_immediate_fused_throughput_as_forward_percent,graph_immediate_fused_throughput_as_cublas_percent,graph_immediate_te_userbuffers_throughput_as_forward_percent,graph_immediate_te_userbuffers_as_cublas_percent,graph_immediate_te_userbuffers_config,graph_immediate_te_userbuffers_numerical_contract,graph_immediate_te_userbuffers_unpack_kernel,graph_immediate_weight_accumulation_beta,graph_deferred_fused_p50_ms,graph_deferred_fused_p95_ms,graph_deferred_fused_p50_tflops_per_gpu,graph_deferred_te_userbuffers_p50_ms,graph_deferred_te_userbuffers_p95_ms,graph_deferred_te_userbuffers_p50_tflops_per_gpu,graph_deferred_te_userbuffers_data_p50_ms,graph_deferred_te_userbuffers_weight_p50_ms,graph_deferred_forward_p50_tflops_per_gpu,graph_deferred_cublas_p50_ms,graph_deferred_cublas_p50_tflops_per_gpu,graph_deferred_fused_speedup_over_te_userbuffers,graph_deferred_fused_throughput_as_forward_percent,graph_deferred_fused_throughput_as_cublas_percent,graph_deferred_te_userbuffers_throughput_as_forward_percent,graph_deferred_te_userbuffers_as_cublas_percent,graph_deferred_te_userbuffers_config,graph_deferred_te_userbuffers_numerical_contract,graph_deferred_te_userbuffers_unpack_kernel,graph_deferred_weight_accumulation_beta
oproj,llama31_405b,model,Llama 3.1 405B,1024,4,256,16384,16384,256,16384,16384,16384,16384,256,128,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,0.5859519839,0.5895568132,469.1133650823364,0.5337920188903809,0.5386512219905853,514.9531975307573,,,469.60060946832954,0.4294400215,640.0845128124603,0.9109825268233567,99.89624281226023,73.28928535094596,109.65769361197697,80.45081348213066,c24/s3/push/sm/b512/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,0.7108160257,0.7137680054,386.70752628755764,0.7400799989700317,0.7693376138806343,371.4164783895622,0.2794720083475113,0.45895999670028687,469.60060946832954,0.611455977,449.5465205731401,1.0411695462847972,82.34817385040844,86.02169265920082,79.09199240820215,82.62025427669472,c8/s3/push/sm/b512/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1,0.6032639742,0.6075184345,455.6511223938424,0.4896959960460663,0.5216624110937117,561.323574551224,,,440.41913516250855,0.4294400215,640.0845128124603,0.8117441401924615,103.45852076243541,71.18608766079372,127.45213133033002,87.69522825741096,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,0.7274879813,0.7300000191,377.84528955763795,0.6739360019564629,0.6778191938996315,407.8694507282866,0.23582399636507034,0.43827199935913086,440.41913516250855,0.611455977,449.5465205731401,0.926387815716431,85.79220551310021,84.0503201038931,92.60938459855711,90.72908632643443,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama31_405b,model,Llama 3.1 405B,4096,4,1024,16384,16384,1024,16384,16384,16384,16384,1024,128,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,1.827888012,1.851921558,601.5202356806091,1.735376000404358,1.748163205385208,633.5869733820244,,,763.4140236745174,1.424095988,772.076908467493,0.9493885779717877,78.7934485124245,77.90936745855741,82.99388716130726,82.0626761962925,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,1.802560091,1.87165761,609.9722462877938,1.8109280169010162,1.8239360064268113,607.1536899945695,0.8634559810161591,0.9486719965934753,763.4140236745174,1.514896035,725.8000564877048,1.0046422451838342,79.9005817776091,84.04136109324304,79.53137762287562,83.65302324895242,c24/s2/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1,1.700016022,1.780785561,646.7654501764455,1.740447998046875,1.7519200086593627,631.7405800172531,,,761.9918651235288,1.424095988,772.076908467493,1.023783291171167,84.8782618002879,83.76956273180348,82.90647301265346,81.82352989564272,c24/s3/push/sm/b512/w4/rev,complete_route_then_single_full_gemm,branch_masked_v1,0,1.840800047,1.86507678,597.3009559446191,1.7399519681930542,1.7682975858449936,631.9206782000117,0.8301439881324768,0.9160640239715576,761.9918651235288,1.514896035,725.8000564877048,0.9452150824467325,78.38678905683446,82.29552348550109,82.93010819709593,87.06539391275408,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama31_405b,model,Llama 3.1 405B,16384,4,4096,16384,16384,4096,16384,16384,16384,16384,4096,128,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,6.494944096,6.571641445,677.1492481070925,6.8394880294799805,6.893812918663025,643.0373870306184,,,677.556501772598,5.901568413,745.2335046080233,1.0530480214128668,99.93989377056523,90.86403709978907,94.90535259396493,86.28669847162095,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,6.568992138,6.640192032,669.5161782372041,6.881919980049133,7.129465579986572,639.0726023920727,3.560368061065674,3.3372960090637207,677.556501772598,5.99825573,733.2209077227856,1.0476371162387184,98.81333534334641,91.31165944470493,94.32019333002557,87.15962620008808,c24/s2/push/sm/b1024/w4/rev,complete_route_then_single_full_gemm,branch_masked_v1,1,6.575535774,6.639194965,668.849910070309,6.871440172195435,6.904633593559265,640.0472682422873,,,679.6371972662798,5.901568413,745.2335046080233,1.045000804248599,98.41278740490355,89.75038104628825,94.1748436984856,85.88546600289239,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,6.554944038,6.660823822,670.9510387286085,6.84663999080658,6.924611353874207,642.36567382096,3.562432050704956,3.2830400466918945,679.6371972662798,5.99825573,733.2209077227856,1.0445001438785098,98.72194185771323,91.5073522401901,94.51596769640655,87.60875024908921,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama31_405b,model,Llama 3.1 405B,131072,4,32768,16384,16384,32768,16384,16384,16384,16384,32768,128,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,52.89222336,57.20916748,665.208793537697,55.5972785949707,59.706403732299805,632.8434228796003,,,671.2672690384694,47.23139191,744.9361677901904,1.0511427779573435,99.09745703682967,89.29742202086926,94.27592437004894,84.95270470715545,c20/s2/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,52.36646271,58.04975128,671.88750715662,55.45622444152832,59.318341636657706,634.4530743510953,29.194239616394043,26.12836742401123,671.2672690384694,47.48668671,740.9312909890318,1.0590026817094578,100.0923980874323,90.68148630350748,94.51571730286997,85.62913755527804,c20/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1,53.61443329,57.92712021,656.2481393493435,55.814992904663086,58.257317543029785,630.3749271979663,,,674.6691332620221,47.23139191,744.9361677901904,1.0410441644092419,97.26962550908277,88.09454658324152,93.43467725433153,84.62133461286176,c20/s3/push/sm/b1024/w4/rev,complete_route_then_single_full_gemm,branch_masked_v1,0,52.44982529,57.0403595,670.8196241702295,55.745598793029785,61.085884952545165,631.1596404132862,29.297391891479492,26.261727333068848,674.6691332620221,47.48668671,740.9312909890318,1.0628366917298036,99.42942267520374,90.53735917601567,93.55098807642678,85.18463831791786,c20/s3/push/sm/b1024/w4/rev,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama31_405b,model,Llama 3.1 405B,262144,4,65536,16384,16384,65536,16384,16384,16384,16384,65536,128,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,106.7585144,109.8445282,659.1394098461153,111.16876602172852,114.4923641204834,632.990242636228,,,660.0192750158724,95.33473206,738.1228504777948,1.0413105375858296,99.86669098872363,89.29941803311567,95.9048116619027,85.75676016891859,c20/s2/push/sm/b1024/w4/rev,complete_route_then_single_full_gemm,branch_masked_v1,0,105.307106,111.8161392,668.2240814562315,112.14225769042969,114.80256500244141,627.4953405336099,59.79230499267578,52.27905464172363,660.0192750158724,96.06718445,732.4951239128775,1.0649068419981997,101.24311618629044,91.22573784337023,95.07227505113691,85.66546316125974,c20/s2/push/ce/b1024/w4/rev,complete_route_then_single_full_gemm,branch_masked_v1,1,107.1709137,110.6191101,656.6030068069113,110.90233612060547,113.75421752929688,634.5109277151612,,,659.0008567533381,95.33473206,738.1228504777948,1.0348174919087723,99.63613856919092,88.95578918629671,96.28377887718841,85.96278076263802,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,105.2226562,111.5441284,668.7603860133689,110.82865524291992,113.54235134124755,634.9327619596771,58.77396774291992,52.057024002075195,659.0008567533381,96.06718445,732.4951239128775,1.053277490279892,101.48095850862966,91.2989539699531,96.34779006020783,86.6808175552027,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama31_405b,model,Llama 3.1 405B,524288,4,131072,16384,16384,131072,16384,16384,16384,16384,131072,128,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,214.3534393,217.8973846,656.567437475812,221.41604614257812,227.58024139404296,635.6246117081407,,,646.8390209295225,193.037384,729.0685640214023,1.0329484185821418,101.50399345610127,90.05565043900839,98.26627509186655,87.1831050021081,c24/s2/pull/ce/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,214.1384583,217.3715668,657.226588220599,222.9110107421875,226.34365844726562,631.361761299898,118.07622528076172,104.86044692993164,646.8390209295225,193.4694519,727.4403631849437,1.0409667301793006,101.60589682362534,90.34783076142095,97.60724706938935,86.79223662206674,c24/s2/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1,215.5947266,219.0162964,652.7872484397213,221.3168487548828,225.04898071289062,635.9095077808574,,,649.7354837598299,193.037384,729.0685640214023,1.0265411044375832,100.46969339926332,89.53715475524994,97.87206081173748,87.22218172092111,c20/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,213.6924896,217.2604523,658.5981969640922,221.9945297241211,225.93552246093748,633.9682717868159,117.37749099731445,105.29647827148438,649.7354837598299,193.4694519,727.4403631849437,1.038850406673914,101.36404943639162,90.53638350236152,97.57328753514065,87.1505492231858,c20/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama3_8b,model,Llama 3/3.1 8B,1024,4,256,4096,4096,256,4096,4096,4096,4096,256,32,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,0.06659200042,0.06714239717,257.98698155402246,0.18404800444841385,0.22459040284156795,93.3445012646974,,,212.28585467061046,0.05126400292,335.125394144699,2.763815522699593,121.52810744471097,76.98222398587617,43.971135716759704,27.85360432113167,c8/s1/push/sm/b512/w8/rev,complete_route_then_single_full_gemm,branch_masked_v1,0,0.0750399977,0.07790400088,228.94282663337555,0.18502400442957878,0.20820000059902666,92.8521098490156,0.13345599919557571,0.051183998584747314,212.28585467061046,0.05267199874,326.16702602844873,2.4656717763942413,107.84648227674452,70.19189812688387,43.739188366124495,28.467656887216098,c8/s1/push/sm/b512/w8/rev,complete_route_then_single_full_gemm,branch_masked_v1,1,0.06118400022,0.06195839867,280.790224931782,0.06758400052785873,0.06930079869925976,254.20024043883438,,,226.71914752187067,0.05126400292,335.125394144699,1.1046025151158176,123.84936517313577,83.78661534987816,112.12120511978932,75.85227645538461,c12/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,0.06827199459,0.06924639642,251.6386006761898,0.06764800008386374,0.07368639940395952,253.95974992168266,0.039264000952243805,0.028416000306606293,226.71914752187067,0.05267199874,326.16702602844873,0.9908601688015183,110.99133153361706,77.15022690682459,112.01513092191925,77.86187126700291,c12/s3/push/sm/b512/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama3_8b,model,Llama 3/3.1 8B,4096,4,1024,4096,4096,1024,4096,4096,4096,4096,1024,32,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,0.1340639889,0.1465184093,512.5871406620514,0.20387199521064758,0.22587839439511298,337.0716839504938,,,466.84427130434784,0.1084479988,633.6629305878903,1.5207066184097973,109.79831437791867,80.89271376289776,72.20216776115221,53.19416170325296,c24/s1/push/sm/b512/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,0.1429280043,0.1469487995,480.7978469478987,0.21371200308203697,0.23055680729448794,321.551788130594,0.12996800243854523,0.08340800181031227,466.84427130434784,0.1139840037,602.8870236640056,1.4952423363686258,102.98891439849203,79.74924456424388,68.877741014619,53.335330751752544,c24/s1/push/sm/b512/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1,0.1267839968,0.1283535957,542.0201166587611,0.13947200030088425,0.17003200277686115,492.7116309205491,,,471.6633954071925,0.1084479988,633.6629305878903,1.100075749472541,114.91672280203741,85.53760848151461,104.46255438058436,77.75610772487963,c12/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,0.1366560012,0.1378304064,502.8646830915758,0.14988800138235092,0.15849120151251556,458.4721665659064,0.08734400197863579,0.06255999952554703,471.6633954071925,0.1139840037,602.8870236640056,1.096827069913933,106.61515987634505,83.40943880919005,97.203253640258,76.04611619927934,c12/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama3_8b,model,Llama 3/3.1 8B,16384,4,4096,4096,4096,4096,4096,4096,4096,4096,4096,32,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,0.3923360109,0.4153631926,700.6186006567261,0.5216320157051086,0.5289264023303986,526.9575077220628,,,602.8024275087719,0.3508319855,783.5029823527879,1.3295542627058623,116.22690431958006,89.4213061643789,87.4179471870814,67.25660521924979,c8/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,0.4039359987,0.4064528048,680.4986627303539,0.5563359931111336,0.5983711957931518,494.08614640737517,0.3457439988851547,0.2107039988040924,602.8024275087719,0.3549599946,774.3912303519063,1.3772874784659135,112.88917092498791,87.8753059252899,81.96485678554859,63.803169127166875,c8/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1,0.3818719983,0.3837327957,719.816871013556,0.4768799990415573,0.4790544077754021,576.4089655604239,,,610.9484081599568,0.3508319855,783.5029823527879,1.2487954109348407,117.81958368325851,91.87161851662795,94.34658603930926,73.56819036342664,c20/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,0.3937119842,0.395780772,698.1700277743286,0.4883039966225624,0.5034128077328205,562.9237295726429,0.30035200715065,0.18732799589633942,610.9484081599568,0.3549599946,774.3912303519063,1.2402568786793928,114.27642963782561,90.15727456741207,92.13932339525137,72.69242051163643,c20/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
oproj,llama3_8b,model,Llama 3/3.1 8B,131072,4,32768,4096,4096,32768,4096,4096,4096,4096,32768,32,8,128,10,50,per-sample max-rank CUDA-event critical path,v10_backward_te_userbuffers_v3,complete_route_then_single_full_gemm,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,2.924432039,2.95472312,751.9488318504227,3.8046079874038696,3.893854463100433,577.9894440721437,,,723.2258850198338,2.864864111,767.5837911852707,1.3009732955547988,103.97150425966865,97.96309412543678,79.91824629676977,75.29985008928297,c24/s2/pull/ce/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,2.91683197,2.957492828,753.9081024101638,3.8666719794273376,3.8960127949714662,568.7121295139393,2.3100160360336304,1.555247962474823,723.2258850198338,2.897632122,758.9035332871009,1.3256409759617855,104.24241139951575,99.34175680335812,78.63547769703278,74.93865881090709,c24/s2/pull/ce/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1,2.97062397,3.012223959,740.2563494268175,3.788432002067566,3.8135679244995115,580.4573645117205,,,712.3921133650632,2.864864111,767.5837911852707,1.2752984020618288,103.91136223141697,96.4398099500961,81.48003797653874,75.62136813954898,c24/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,0,2.955264091,2.982417583,744.1038052230033,3.759072005748749,3.8609472930431368,584.9909903798155,2.2859359979629517,1.4707040190696716,712.3921133650632,2.897632122,758.9035332871009,1.271991906644376,104.4514378055291,98.04985384637828,82.11643270677796,77.08370889327608,c20/s3/push/sm/b1024/w4/fwd,complete_route_then_single_full_gemm,branch_masked_v1,1
