model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,q_heads_per_rank,kv_heads_per_rank,gemm_input,gemm_weight,gemm_output,route_output,qkv_output_mib_per_gpu,remote_payload_mib_per_gpu,gemm_gflop_per_gpu
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,1024,4,256,4096,4096,16,8,128,,True,4,2,"[256,4096]","[4096,4096]","[256,4096]","Q[1,1024,4,128] + K[1,1024,2,128] + V[1,1024,2,128]",2.0,1.5,8.589934592
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,1024,8,128,4096,4096,16,8,128,,True,2,1,"[128,4096]","[4096,4096]","[128,4096]","Q[1,1024,2,128] + K[1,1024,1,128] + V[1,1024,1,128]",1.0,0.875,4.294967296
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,4096,4,1024,4096,4096,16,8,128,,True,4,2,"[1024,4096]","[4096,4096]","[1024,4096]","Q[1,4096,4,128] + K[1,4096,2,128] + V[1,4096,2,128]",8.0,6.0,34.359738368
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,4096,8,512,4096,4096,16,8,128,,True,2,1,"[512,4096]","[4096,4096]","[512,4096]","Q[1,4096,2,128] + K[1,4096,1,128] + V[1,4096,1,128]",4.0,3.5,17.179869184
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,16384,4,4096,4096,4096,16,8,128,,True,4,2,"[4096,4096]","[4096,4096]","[4096,4096]","Q[1,16384,4,128] + K[1,16384,2,128] + V[1,16384,2,128]",32.0,24.0,137.438953472
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,16384,8,2048,4096,4096,16,8,128,,True,2,1,"[2048,4096]","[4096,4096]","[2048,4096]","Q[1,16384,2,128] + K[1,16384,1,128] + V[1,16384,1,128]",16.0,14.0,68.719476736
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,131072,4,32768,4096,4096,16,8,128,,True,4,2,"[32768,4096]","[4096,4096]","[32768,4096]","Q[1,131072,4,128] + K[1,131072,2,128] + V[1,131072,2,128]",256.0,192.0,1099.511627776
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,131072,8,16384,4096,4096,16,8,128,,True,2,1,"[16384,4096]","[4096,4096]","[16384,4096]","Q[1,131072,2,128] + K[1,131072,1,128] + V[1,131072,1,128]",128.0,112.0,549.755813888
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,262144,4,65536,4096,4096,16,8,128,,True,4,2,"[65536,4096]","[4096,4096]","[65536,4096]","Q[1,262144,4,128] + K[1,262144,2,128] + V[1,262144,2,128]",512.0,384.0,2199.023255552
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,262144,8,32768,4096,4096,16,8,128,,True,2,1,"[32768,4096]","[4096,4096]","[32768,4096]","Q[1,262144,2,128] + K[1,262144,1,128] + V[1,262144,1,128]",256.0,224.0,1099.511627776
