operator,model,suite,aliases,global_seq,cp,local_tokens,hidden,projection_width,q_heads,kv_heads,head_dim,max_context,within_native_context,b_m,b_n,b_k,w_m,w_n,w_k,warmup,iterations,timing,process_model,cublas_b_p50_ms,cublas_w_beta0_p50_ms,cublas_w_beta1_p50_ms,cublas_total_beta0_p50_ms,cublas_total_beta1_p50_ms,cublas_total_beta0_p50_tflops_per_gpu,cublas_total_beta1_p50_tflops_per_gpu,eager_deferred_requested_comm_ctas,eager_deferred_weight_accumulation_beta,eager_deferred_comm_ctas,eager_deferred_gemm_policy,eager_deferred_tile_m,eager_deferred_tile_n,eager_deferred_data_phase_p50_ms,eager_deferred_data_phase_p95_ms,eager_deferred_data_phase_p50_tflops_per_gpu,eager_deferred_weight_phase_p50_ms,eager_deferred_weight_phase_p95_ms,eager_deferred_weight_phase_p50_tflops_per_gpu,eager_deferred_total_p50_ms,eager_deferred_total_p95_ms,eager_deferred_total_p50_tflops_per_gpu,eager_deferred_mfu_percent_of_989t,eager_deferred_throughput_as_cublas_percent,eager_deferred_forward_p50_tflops_per_gpu,eager_deferred_throughput_as_forward_percent,eager_immediate_requested_comm_ctas,eager_immediate_weight_accumulation_beta,eager_immediate_comm_ctas,eager_immediate_gemm_policy,eager_immediate_tile_m,eager_immediate_tile_n,eager_immediate_total_p50_ms,eager_immediate_total_p95_ms,eager_immediate_total_p50_tflops_per_gpu,eager_immediate_mfu_percent_of_989t,eager_immediate_throughput_as_cublas_percent,eager_immediate_forward_p50_tflops_per_gpu,eager_immediate_throughput_as_forward_percent,graph_deferred_requested_comm_ctas,graph_deferred_weight_accumulation_beta,graph_deferred_comm_ctas,graph_deferred_gemm_policy,graph_deferred_tile_m,graph_deferred_tile_n,graph_deferred_data_phase_p50_ms,graph_deferred_data_phase_p95_ms,graph_deferred_data_phase_p50_tflops_per_gpu,graph_deferred_weight_phase_p50_ms,graph_deferred_weight_phase_p95_ms,graph_deferred_weight_phase_p50_tflops_per_gpu,graph_deferred_total_p50_ms,graph_deferred_total_p95_ms,graph_deferred_total_p50_tflops_per_gpu,graph_deferred_mfu_percent_of_989t,graph_deferred_throughput_as_cublas_percent,graph_deferred_forward_p50_tflops_per_gpu,graph_deferred_throughput_as_forward_percent,graph_immediate_requested_comm_ctas,graph_immediate_weight_accumulation_beta,graph_immediate_comm_ctas,graph_immediate_gemm_policy,graph_immediate_tile_m,graph_immediate_tile_n,graph_immediate_total_p50_ms,graph_immediate_total_p95_ms,graph_immediate_total_p50_tflops_per_gpu,graph_immediate_mfu_percent_of_989t,graph_immediate_throughput_as_cublas_percent,graph_immediate_forward_p50_tflops_per_gpu,graph_immediate_throughput_as_forward_percent
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,1024,4,256,4096,4096,16,8,128,,True,256,4096,4096,4096,4096,256,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.02233600058,0.02916800044,0.03036800027,0.05166399851,0.05276799947,332.53076957786556,325.5736309231736,0,1,10,m128n128,128,128,0.04252799973,0.04420959949,201.98303815216846,0.03311999887,0.03395839781,259.35793735128226,0.07577599585,0.07766400278,226.71914755179031,22.924079631121366,69.63682743867231,185.44764280088884,122.25507109584228,0,0,10,m128n128,128,128,0.07116799802,0.07344320416,241.39879808298141,24.408371899189223,72.59442438647933,185.44764280088884,130.1708635585981,0,1,10,m128n128,128,128,0.03932800144,0.0401775986,218.41777556647688,0.03081599995,0.03129919991,278.7491759455302,0.07016000152,0.0712319985,244.8670013084686,24.759049677297124,75.21094402336608,210.8683814156762,116.12314737019406,0,0,10,m128n128,128,128,0.06553599983,0.06684000045,262.14400068,26.50596569059656,78.83300574343279,210.8683814156762,124.3164095631987
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,1024,8,128,4096,4096,16,8,128,,True,128,4096,4096,4096,4096,128,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.02123199962,0.02700800076,0.02841600031,0.04835199937,0.04956799746,177.6541757098389,173.29597789242624,0,1,10,m128n64,128,64,0.0438079983,0.04549759999,98.04071089000203,0.03286400065,0.03366719931,130.68911912889703,0.07671999931,0.07884319872,111.96473760760779,11.321004813711607,64.60896494499721,112.12842454521767,99.85401833810313,0,0,10,m128n64,128,64,0.06960000098,0.07112959772,123.41859872197949,12.4791303055591,69.47126248445636,112.12842454521767,110.0689670996036,0,1,10,m128n64,128,64,0.03872000054,0.03923520073,110.92374060178666,0.03055999987,0.03107840009,140.54212415806532,0.06926399469,0.06995519996,124.01731419686907,12.53966776510304,71.56387338305855,140.028925247104,88.56549743420523,0,0,10,m128n64,128,64,0.06366400421,0.06500159949,134.92608104990572,13.642677558130002,75.94872482495396,140.028925247104,96.35586419863361
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,4096,4,1024,4096,4096,16,8,128,,True,1024,4096,4096,4096,4096,1024,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.0504960008,0.05807999894,0.06380800158,0.1085920036,0.1142719984,632.8226246669971,601.3675939704227,0,1,12,m128n160,128,160,0.09326399863,0.09512480348,368.41373812753926,0.0632160008,0.06416639686,543.5291371357993,0.1564799994,0.1593967974,439.1582119088377,44.404268140428485,73.02658412459068,380.6245307204992,115.37832600477373,0,0,12,m128n160,128,160,0.1469279975,0.1500447989,467.70852325813536,47.291053918921676,73.90831253927627,380.6245307204992,122.87923807033442,0,1,12,m128n160,128,160,0.08886399865,0.09029920399,386.65532600360876,0.06070400029,0.06131840125,566.0209904430337,0.149616003,0.1510927975,459.3056582055598,46.44142145657834,76.37685548918186,415.05290380092214,110.66195513858234,0,0,12,m128n160,128,160,0.1394239962,0.1409024,492.88127301575645,49.83632689744757,77.88616490681251,415.05290380092214,118.75143349247938
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,4096,8,512,4096,4096,16,8,128,,True,512,4096,4096,4096,4096,512,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.03769600019,0.04704000056,0.04825599864,0.08476800472,0.08598399907,405.3385293365674,399.60619114758276,0,1,10,m128n160,128,160,0.06809599698,0.06989599764,252.2889735948176,0.05361599848,0.05479039997,320.4243075023304,0.1216959953,0.1239840016,282.34074821688074,28.548103965306446,70.65474821750358,260.87021063873635,108.23035237544913,0,0,10,m128n160,128,160,0.1141759977,0.1159887984,300.9366159276399,30.428373703502515,74.24327917215125,260.87021063873635,115.35875069476181,0,1,10,m128n160,128,160,0.06351999938,0.06500960141,270.4639381562916,0.0511040017,0.0519855991,336.1746362809784,0.114512004,0.1166608036,300.0535941018026,30.33908939350886,75.0873236573521,295.1461862727315,101.66270413012771,0,0,10,m128n160,128,160,0.1090560034,0.1106576025,315.06507937920634,31.856934214277686,77.72887514416284,295.1461862727315,106.74882279795703
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,16384,4,4096,4096,4096,16,8,128,,True,4096,4096,4096,4096,4096,4096,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.1726559997,0.1784159988,0.1818400025,0.3511199951,0.3544960022,782.8603063910215,775.4048148303772,0,1,12,m128n256,128,256,0.2330719978,0.2352351993,589.6845385516319,0.1775999963,0.1784320027,773.8679973835112,0.4106559753,0.4128704071,669.3629789343528,67.68078654543505,86.32432584014565,581.1077255789518,115.18741697461914,0,0,12,m128n256,128,256,0.3976959884,0.399396807,691.1759609391122,69.886345898798,88.28854334503518,581.1077255789518,118.9411068748915,0,1,12,m128n256,128,256,0.2272479981,0.2284656018,604.7972022685115,0.1729760021,0.1740256101,794.5550354004857,0.4002720118,0.4016447663,686.7277722164235,69.43657959721168,88.5637745706606,600.4008349655913,114.3782173880187,0,0,12,m128n256,128,256,0.3893759847,0.3909983933,705.9446852013316,71.37964461085254,90.1750515945469,600.4008349655913,117.57889797768001
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,16384,8,2048,4096,4096,16,8,128,,True,2048,4096,4096,4096,4096,2048,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.1147679985,0.1217600033,0.1253759861,0.236432001,0.2400000095,581.3043618913498,572.6622834654513,0,1,12,m128n256,128,256,0.1959680021,0.2398159951,350.66682315275796,0.1284959912,0.1305024028,534.7986041762211,0.3249120116,0.3684192002,423.0036088699652,42.77084012840902,73.8661548146963,393.45613823866506,107.5097241495765,0,0,12,m128n256,128,256,0.3073279858,0.3099040091,447.206111458529,45.218009247576234,76.93149076044868,393.45613823866506,113.66098225344243,0,1,12,m128n256,128,256,0.1857120097,0.1873871982,370.0324865742918,0.1241119951,0.1249135956,553.6892439818656,0.3100959957,0.3118783832,443.21421552622775,44.81437972964892,77.39539137170483,417.47348869007016,106.16583508498366,0,0,12,m128n256,128,256,0.298864007,0.3043423891,459.8712131702096,46.49860598283211,79.11022922208228,417.47348869007016,110.15578848208376
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,131072,4,32768,4096,4096,16,8,128,,True,32768,4096,4096,4096,4096,32768,10,50,per-sample max-rank CUDA event,MPI one process per GPU,1.394351959,1.481440067,1.489583969,2.874815941,2.88481617,764.9266251066749,762.2750033157225,0,1,12,m128n256,128,256,1.534288049,1.569676876,716.62659986997,1.398800015,1.412460804,786.0391878648929,2.939248085,2.976569653,748.1584377903916,75.64797146515588,98.14810069018044,726.0684782219301,103.04240718761922,0,0,12,m128n256,128,256,2.985008001,3.012939215,736.6892332668156,74.48829456691765,96.30848359659052,726.0684782219301,101.46277594516906,0,1,12,m128n256,128,256,1.530591965,1.595524788,718.35711471019,1.396607995,1.423840046,787.2729009946703,2.920207977,3.018807888,753.0365209847517,76.14120535740665,98.7880381370522,734.6690742113417,102.50009799216433,0,0,12,m128n256,128,256,2.970432043,3.000697613,740.3041792301321,74.85380983115593,96.78107088073854,734.6690742113417,100.7670263002209
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,131072,8,16384,4096,4096,16,8,128,,True,16384,4096,4096,4096,4096,16384,10,50,per-sample max-rank CUDA event,MPI one process per GPU,0.8435519934,0.8082079887,0.8089439869,1.652015924,1.652544022,665.5575238728751,665.3448338673062,0,1,12,m128n256,128,256,0.9776960015,0.9892784357,562.2972918417935,0.8015999794,0.8115296364,685.8231387424609,1.78015995,1.809784055,617.6476601307653,62.45173509916737,92.83121002694169,589.8768750567726,104.70789519784444,0,0,12,m128n256,128,256,1.770128012,1.777819157,621.1480866480972,62.80567104631923,93.32748325548786,589.8768750567726,105.30131166581414,0,1,12,m128n256,128,256,0.9683680534,0.9735215902,567.7137034392796,0.794975996,0.7960847616,691.5376271159764,1.763200045,1.769518495,623.5887021974299,63.0524471382639,93.72413678675922,598.7372973458911,104.15063584007565,0,0,12,m128n256,128,256,1.744064093,1.765295982,630.4307463177616,63.74426150836822,94.72220262033684,598.7372973458911,105.29338143996753
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,262144,4,65536,4096,4096,16,8,128,,True,65536,4096,4096,4096,4096,65536,10,50,per-sample max-rank CUDA event,MPI one process per GPU,2.893136024,2.974544048,2.97636795,5.871568203,5.873519897,749.0412031417563,748.7923065265135,0,1,12,m128n256,128,256,3.108112097,3.166540861,707.5109220399526,2.769808054,2.798390388,793.9262261788485,5.903455734,5.938558578,744.995255198436,75.32813500489746,99.49290994378785,686.05249253263,108.59158203014654,0,0,12,m128n256,128,256,5.924367905,5.949097633,742.3655285473023,75.06223746686577,99.1087707102822,686.05249253263,108.20826928370849,0,1,12,m128n256,128,256,3.108256102,3.15596962,707.4781431739308,2.777088165,2.794654369,791.8449559025794,5.882608414,5.925694466,747.6354367965585,75.59508966598165,99.84550192091028,694.93281098383,107.5838447947387,0,0,12,m128n256,128,256,5.914912224,5.944609642,743.5522869229986,75.18223325813939,99.26720770556611,694.93281098383,106.99628441350137
qkv,artificial_small,artificial,Mx4096x4096 QKV stress shape,262144,8,32768,4096,4096,16,8,128,,True,32768,4096,4096,4096,4096,32768,10,50,per-sample max-rank CUDA event,MPI one process per GPU,1.60452795,1.589920044,1.57862401,3.203455925,3.183983803,686.453413761889,690.6515207395356,0,1,12,m128n256,128,256,1.84444809,1.878982425,596.1195838132804,1.587007999,1.592772722,692.8204700094899,3.432575941,3.467707157,640.6335339259432,64.77588816238051,92.75785467611304,629.7779072868251,101.72372300036464,0,0,12,m128n256,128,256,3.416399956,3.438182354,643.6668082991862,65.08258931235451,93.7670052176994,629.7779072868251,102.20536491541858,0,1,12,m128n256,128,256,1.831807971,1.858804822,600.2330185165463,1.583119988,1.584806442,694.5219794521349,3.414080143,3.44406867,644.1041696284516,65.1268118936756,93.26037086528932,633.5461075247185,101.66650256048193,0,0,12,m128n256,128,256,3.392863989,3.437604904,648.1318622501376,65.53406089485719,94.41745779924926,633.5461075247185,102.30224044504133
