model,aliases,global_seq,cp,m,n,k,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_clusters,n_tiles,waves,last_wave_clusters,last_wave_ctas,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_small,single-digit-B median-like O-proj,1024,4,256,4096,4096,4,m64n128,64,128,64,1,128,32,1,128,128,True,True,0.04046655968,0.04046399891,0.04169600084,212.28585467061046,0.02352000028,365.21830313515625,0.02267199941,378.8785645526796,58.12574365749952,56.03005145494158,0.02886399999,0.02891200036,0.02119999938,0.04643199965,0.4561758563
representative_small,single-digit-B median-like O-proj,1024,8,128,4096,4096,4,m64n128,64,128,64,1,128,32,1,64,64,True,False,0.03195455998,0.03206399828,0.03261119872,133.94983552874618,0.02257600054,190.24482606607876,0.02260800079,189.97554608631097,70.4091870977982,70.4091870977982,0.02366399951,0.02361599915,0.0210239999,0.04060800001,0.6082872777
representative_small,single-digit-B median-like O-proj,4096,4,1024,4096,4096,4,m128n128,128,128,64,1,128,32,2,128,128,True,True,0.09289151981,0.09281599522,0.09483359754,370.19199424148565,0.05062400177,678.7242645120507,0.04919999838,698.3686890113268,54.54232500551967,53.00810303588533,0.0580479987,0.05580800027,0.06454399973,0.1201760024,0.5153511618
representative_small,single-digit-B median-like O-proj,4096,8,512,4096,4096,4,m128n128,128,128,64,1,128,32,1,128,128,True,True,0.0611456003,0.06107199937,0.06327199936,281.3051703108177,0.03903999925,440.0581330441496,0.03822400048,449.4524112668178,63.9245475057713,62.58842165690833,0.03803199902,0.03784000129,0.04475200176,0.0825919956,0.5767486916
representative_small,single-digit-B median-like O-proj,16384,4,4096,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,4,64,128,True,True,0.2978547221,0.2976480126,0.3014848232,461.7499450826167,0.1768639982,777.088355294232,0.1755200028,783.0386923398568,59.42052045134334,58.96898194172588,0.1757439971,0.1745600104,0.2480639964,0.4242240191,0.7194678719
representative_small,single-digit-B median-like O-proj,16384,8,2048,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,2,64,128,True,True,0.1926937607,0.1926880032,0.1964496076,356.6359897594288,0.1180799976,581.9739001756212,0.1169919968,587.386134228286,61.28040959428033,60.7157658271898,0.1189599931,0.1182079986,0.1484479904,0.2747200131,0.6298917865
representative_small,single-digit-B median-like O-proj,131072,4,32768,4096,4096,8,m128n320_cluster_m2,128,320,64,2,62,13,27,52,104,False,False,1.511834228,1.520287991,1.584387183,723.2258850198338,1.527760029,719.688699079062,1.44550395,760.6424235478568,100.49148832617465,95.08092930795242,1.522671938,1.525520086,1.116944075,2.440432072,1.00531996
representative_small,single-digit-B median-like O-proj,131072,8,16384,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,16,64,128,True,True,1.307833605,1.30697608,1.318483114,420.63188630659556,0.8478720188,648.394806879078,0.8225599527,668.3474099163982,64.87280308909708,62.93611377340586,0.8407199979,0.8356800079,1.159759998,2.006128073,0.8274361487
representative_small,single-digit-B median-like O-proj,262144,4,65536,4096,4096,8,m128n320_cluster_m2,128,320,64,2,62,13,54,42,84,False,False,3.145738239,3.190351963,3.203927994,689.2729332233869,2.951904058,744.950788489346,3.070464134,716.1859443989845,92.52596867789538,92.52596867789538,2.922912121,3.038687944,2.195551872,4.80739212,0.9025253683
representative_small,single-digit-B median-like O-proj,262144,8,32768,4096,4096,8,m128n320_cluster_m2,128,320,64,2,62,13,27,52,104,False,False,1.771365125,1.769024014,1.78966558,621.5357276523664,1.619215965,679.0395176075231,1.621984005,677.8806846347414,91.53159890343919,91.53159890343919,1.684864044,1.748239994,1.26639998,2.959039927,0.9298684994
