aliases,best_external_p50_ms,best_separated,best_separated_over_v3_p50,best_separated_p50_ms,beyond_native_context,cluster_m,comm_ctas,compute_clusters,compute_ctas,compute_subgrid_p50_ms,cp,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_boundary_p50_ms,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,exact_mismatches,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p50_tflops_per_gpu,fused_p95_ms,fused_throughput_as_best_pure_percent,fused_throughput_as_cublas_percent,global_seq,head_dim,k,last_wave_clusters,last_wave_ctas,m,model,n,n_tiles,native_max_context,overlap_ratio,policy,q_heads,result_source,route_p50_ms,same_policy_p50_ms,sequential_p50_ms,speedup_over_best_external,speedup_over_best_separated,speedup_over_te_userbuffers,suite,te_boundary_p50_ms,te_ub_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_userbuffers_p50_ms,te_userbuffers_p95_ms,tile_k,tile_m,tile_n,v1_over_v3_p50,v1_p50_ms,v2_auto_p50_ms,v2_over_v3_p50,v3_throughput_as_cublas_percent,waves
single-digit-B median-like O-proj,0.04388799890875816,TE+NCCL,2.2123369497026775,0.05632000043988228,False,1,4,128,128,,4,0.02352000028,365.21830313515625,0.05748800002038479,,,0,True,True,0.04046655968,0.04046399891,212.2858546706105,0.04169600084,58.12574365749953,58.12574365749953,1024,128,4096,128,,256,representative_small,4096,32,,,m64n128,32,v3_golden,,,,1.084618428504158,1.3918545363039672,1.084618428504158,artificial,0.05632000043988228,1.084618428504158,0.04388799890875816,0.047515200451016426,0.04388799890875816,0.047515200451016426,64,64,128,0.9909055189819844,0.04009599984,0.04046399891,1.0,58.12574365749953,1
single-digit-B median-like O-proj,0.04705600067973137,TE+NCCL,2.10778456066767,0.04705600067973137,False,1,4,128,128,,8,0.02257600054,190.24482606607876,0.048367999494075775,,,0,True,False,0.03195455998,0.03206399828,133.94983552874618,0.03261119872,70.40918709779821,70.40918709779821,1024,128,4096,64,,128,representative_small,4096,32,,,m64n128,32,v3_golden,,,,1.4675649701828568,1.4675649701828568,1.8133733329141444,artificial,0.04705600067973137,1.8133733329141444,0.05814399942755699,0.05961599946022034,0.05814399942755699,0.05961599946022034,64,64,128,1.0009980118424584,0.03209599853,0.03206399828,1.0,70.40918709779821,1
single-digit-B median-like O-proj,0.07916799932718277,cuBLASLt+NCCL,1.9330434177232825,0.10945599898695946,False,1,10,122,122,,4,0.05062400177,678.7242645120507,0.10945599898695946,,,0,False,False,0.0736,0.0736,466.84427130434784,0.0754,68.78261110054348,68.78261110054348,4096,128,4096,86,,1024,representative_small,4096,26,,,m128n160,32,v3_golden,,,,1.075652164771505,1.4871738992793404,1.075652164771505,artificial,0.11060800030827522,1.075652164771505,0.07916799932718277,0.08468319997191429,0.07916799932718277,0.08468319997191429,64,128,160,1.256956475951087,0.09251199663,0.09281599522,1.261086891576087,68.78261110054348,2
single-digit-B median-like O-proj,0.08830400183796883,cuBLASLt+NCCL,2.957820261136015,0.08830400183796883,False,1,4,128,128,,8,0.03903999925,440.0581330441496,0.08830400183796883,,,0,True,True,0.0611456003,0.06107199937,281.3051703108177,0.06327199936,63.9245475057713,63.9245475057713,4096,128,4096,128,,512,representative_small,4096,32,,,m128n128,32,v3_golden,,,,1.4458999664148187,1.4458999664148187,1.488603620032847,artificial,0.08990399911999702,1.488603620032847,0.09091199934482574,0.10244159810245035,0.09091199934482574,0.10244159810245035,64,128,128,1.0351061280474991,0.0632160008,0.06107199937,1.0,63.9245475057713,1
single-digit-B median-like O-proj,0.25068800151348114,cuBLASLt+NCCL,1.5241403720880808,0.3404480069875717,False,2,16,58,116,,4,0.1768639982,777.088355294232,0.3404480069875717,,,0,False,False,0.2282,0.228,602.802427508772,0.2297,77.57192903508772,77.57192903508772,16384,128,4096,34,,4096,representative_small,4096,13,,,m128n320_cluster_m2,32,v3_golden,,,,1.0995087785678996,1.4931930131033846,1.0995087785678996,artificial,0.3415199965238571,1.0995087785678996,0.25068800151348114,0.25243680328130724,0.25068800151348114,0.25243680328130724,64,128,320,1.3053333548245614,0.2976160049,0.2976480126,1.3054737394736842,77.57192903508772,4
single-digit-B median-like O-proj,0.22420799732208252,cuBLASLt+NCCL,1.7109523701536948,0.22564800083637238,False,2,4,64,128,,8,0.1180799976,581.9739001756212,0.22564800083637238,,,0,True,True,0.1926937607,0.1926880032,356.63598975942887,0.1964496076,61.28040959428033,61.28040959428033,16384,128,4096,64,,2048,representative_small,4096,16,,,m128n256_cluster_m2,32,v3_golden,,,,1.1635804699754266,1.1710537090477897,1.1635804699754266,artificial,0.22681599855422974,1.1635804699754266,0.22420799732208252,0.24173759371042247,0.22420799732208252,0.24173759371042247,64,128,256,1.0196794960611226,0.196480006,0.1926880032,1.0,61.28040959428033,2
single-digit-B median-like O-proj,1.6789600253105164,TE+NCCL,2.158212120364174,2.537071943283081,False,2,8,62,124,,4,1.527760029,719.688699079062,2.5390559434890747,,,0,False,False,1.511834228,1.520287991,723.2258850198338,1.584387183,100.49148832617465,100.49148832617465,131072,128,4096,52,,32768,representative_small,4096,13,,,m128n320_cluster_m2,32,v3_golden,,,,1.1043697215592334,1.6688100927603007,1.1043697215592334,artificial,2.537071943283081,1.1043697215592334,1.6789600253105164,1.8160336136817934,1.6789600253105164,1.8160336136817934,64,128,320,1.4516512845361282,2.206928015,1.520287991,1.0,100.49148832617465,27
single-digit-B median-like O-proj,1.1209759712219238,cuBLASLt+NCCL,2.255314576448812,1.426431953907013,False,2,12,60,120,,8,0.8478720188,648.394806879078,1.426431953907013,,,0,False,False,0.9381,0.9361,587.2832110757398,0.9474,90.57494058327102,90.57494058327102,131072,128,4096,52,,16384,representative_small,4096,13,,,m128n320_cluster_m2,32,v3_golden,,,,1.1974959632752096,1.5238029632592809,1.1974959632752096,artificial,1.4870399832725525,1.1974959632752096,1.1209759712219238,1.142031991481781,1.1209759712219238,1.142031991481781,64,128,320,1.4676722743296655,1.373888016,1.30697608,1.3961927999145392,90.57494058327102,14
single-digit-B median-like O-proj,3.6769120693206787,cuBLASLt+NCCL,2.007938911221665,4.981296062469482,False,2,8,62,124,,4,2.951904058,744.950788489346,4.981296062469482,,,0,False,False,3.145738239,3.190351963,689.2729332233868,3.203927994,92.52596867789538,92.52596867789538,262144,128,4096,42,,65536,representative_small,4096,13,,,m128n320_cluster_m2,32,v3_golden,,,,1.152509852192969,1.5613625456501028,1.152509852192969,artificial,4.983152151107788,1.152509852192969,3.6769120693206787,3.7016080260276794,3.6769120693206787,3.7016080260276794,64,128,320,1.3665652666423374,4.359824181,3.190351963,1.0,92.52596867789538,54
single-digit-B median-like O-proj,2.1101280450820923,cuBLASLt+NCCL,1.7499276436351572,2.798080086708069,False,2,8,62,124,,8,1.619215965,679.0395176075231,2.798080086708069,,,0,False,False,1.771365125,1.769024014,621.5357276523664,1.78966558,91.53159890343919,91.53159890343919,262144,128,4096,52,,32768,representative_small,4096,13,,,m128n320_cluster_m2,32,v3_golden,,,,1.1928204639296052,1.5817083683229576,1.1928204639296052,artificial,2.911215901374817,1.1928204639296052,2.1101280450820923,2.125880002975464,2.1101280450820923,2.125880002975464,64,128,320,1.5309774511630796,2.708335876,1.769024014,1.0,91.53159890343919,27
