model,aliases,global_seq,cp,m,n,k,result_source,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_ctas,compute_clusters,n_tiles,waves,last_wave_clusters,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,v2_auto_p50_ms,v2_over_v3_p50,v1_p50_ms,v1_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_ub_over_v3_p50,best_separated,best_separated_p50_ms,best_separated_over_v3_p50,cublas_p50_ms,cublas_p50_tflops_per_gpu,v3_throughput_as_cublas_percent,exact_mismatches,suite,q_heads,head_dim,native_max_context,beyond_native_context,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,last_wave_ctas,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_small,single-digit-B median-like O-proj,1024,4,256,4096,4096,v3_golden,4,m64n128,64,128,64,1,128,128,32,1,128,True,True,0.04046655968,0.04046399891,0.04169600084,212.2858546706105,0.04046399891,1.0,0.04009599984,0.9909055189819844,0.04388799890875816,0.047515200451016426,1.084618428504158,TE+NCCL,0.08951999992132187,2.2123369497026775,0.02352000028,365.21830313515625,58.12574365749953,0,artificial,32,128,,False,58.12574365749953,58.12574365749953,,,,,,,,
representative_small,single-digit-B median-like O-proj,1024,8,128,4096,4096,v3_golden,4,m64n128,64,128,64,1,128,128,32,1,64,True,False,0.03195455998,0.03206399828,0.03261119872,133.94983552874618,0.03206399828,1.0,0.03209599853,1.0009980118424584,0.05814399942755699,0.05961599946022034,1.8133733329141444,TE+NCCL,0.06758400052785873,2.10778456066767,0.02257600054,190.24482606607876,70.40918709779821,0,artificial,32,128,,False,70.40918709779821,70.40918709779821,,,,,,,,
representative_small,single-digit-B median-like O-proj,4096,4,1024,4096,4096,v3_golden,10,m128n160,128,160,64,1,122,122,26,2,86,False,False,0.0736,0.0736,0.0754,466.84427130434784,0.09281599522,1.261086891576087,0.09251199663,1.256956475951087,0.07916799932718277,0.08468319997191429,1.075652164771505,cuBLASLt+NCCL,0.1422719955444336,1.9330434177232825,0.05062400177,678.7242645120507,68.78261110054348,0,artificial,32,128,,False,68.78261110054348,68.78261110054348,,,,,,,,
representative_small,single-digit-B median-like O-proj,4096,8,512,4096,4096,v3_golden,4,m128n128,128,128,64,1,128,128,32,1,128,True,True,0.0611456003,0.06107199937,0.06327199936,281.3051703108177,0.06107199937,1.0,0.0632160008,1.0351061280474991,0.09091199934482574,0.10244159810245035,1.488603620032847,cuBLASLt+NCCL,0.18063999712467194,2.957820261136015,0.03903999925,440.0581330441496,63.9245475057713,0,artificial,32,128,,False,63.9245475057713,63.9245475057713,,,,,,,,
representative_small,single-digit-B median-like O-proj,16384,4,4096,4096,4096,v3_golden,16,m128n320_cluster_m2,128,320,64,2,116,58,13,4,34,False,False,0.2282,0.228,0.2297,602.802427508772,0.2976480126,1.3054737394736842,0.2976160049,1.3053333548245614,0.25068800151348114,0.25243680328130724,1.0995087785678996,TE+NCCL,0.34750400483608246,1.5241403720880808,0.1768639982,777.088355294232,77.57192903508772,0,artificial,32,128,,False,77.57192903508772,77.57192903508772,,,,,,,,
representative_small,single-digit-B median-like O-proj,16384,8,2048,4096,4096,v3_golden,4,m128n256_cluster_m2,128,256,64,2,128,64,16,2,64,True,True,0.1926937607,0.1926880032,0.1964496076,356.63598975942887,0.1926880032,1.0,0.196480006,1.0196794960611226,0.22420799732208252,0.24173759371042247,1.1635804699754266,cuBLASLt+NCCL,0.3296799957752228,1.7109523701536948,0.1180799976,581.9739001756212,61.28040959428033,0,artificial,32,128,,False,61.28040959428033,61.28040959428033,,,,,,,,
representative_small,single-digit-B median-like O-proj,131072,4,32768,4096,4096,v3_golden,8,m128n320_cluster_m2,128,320,64,2,124,62,13,27,52,False,False,1.511834228,1.520287991,1.584387183,723.2258850198338,1.520287991,1.0,2.206928015,1.4516512845361282,1.6789600253105164,1.8160336136817934,1.1043697215592334,cuBLASLt+NCCL,3.2811039686203003,2.158212120364174,1.527760029,719.688699079062,100.49148832617465,0,artificial,32,128,,False,100.49148832617465,100.49148832617465,,,,,,,,
representative_small,single-digit-B median-like O-proj,131072,8,16384,4096,4096,v3_golden,12,m128n320_cluster_m2,128,320,64,2,120,60,13,14,52,False,False,0.9381,0.9361,0.9474,587.2832110757398,1.30697608,1.3961927999145392,1.373888016,1.4676722743296655,1.1209759712219238,1.142031991481781,1.1974959632752096,cuBLASLt+NCCL,2.111199975013733,2.255314576448812,0.8478720188,648.394806879078,90.57494058327102,0,artificial,32,128,,False,90.57494058327102,90.57494058327102,,,,,,,,
representative_small,single-digit-B median-like O-proj,262144,4,65536,4096,4096,v3_golden,8,m128n320_cluster_m2,128,320,64,2,124,62,13,54,42,False,False,3.145738239,3.190351963,3.203927994,689.2729332233868,3.190351963,1.0,4.359824181,1.3665652666423374,3.6769120693206787,3.7016080260276794,1.152509852192969,cuBLASLt+NCCL,6.406031847000122,2.007938911221665,2.951904058,744.950788489346,92.52596867789538,0,artificial,32,128,,False,92.52596867789538,92.52596867789538,,,,,,,,
representative_small,single-digit-B median-like O-proj,262144,8,32768,4096,4096,v3_golden,8,m128n320_cluster_m2,128,320,64,2,124,62,13,27,52,False,False,1.771365125,1.769024014,1.78966558,621.5357276523664,1.769024014,1.0,2.708335876,1.5309774511630796,2.1101280450820923,2.125880002975464,1.1928204639296052,cuBLASLt+NCCL,3.0956640243530273,1.7499276436351572,1.619215965,679.0395176075231,91.53159890343919,0,artificial,32,128,,False,91.53159890343919,91.53159890343919,,,,,,,,
