model,suite,aliases,global_seq,cp,m,n,k,q_heads,head_dim,q_heads_per_rank,native_max_context,beyond_native_context,a2a_input,gemm_input,gemm_weight,gemm_output,payload_mib_per_gpu,remote_payload_mib_per_gpu,gemm_gflop_per_gpu
representative_small,artificial,single-digit-B median-like O-proj,1024,4,256,4096,4096,32,128,8,,False,"[1,1024,8,128]","[256,4096]","[4096,4096]","[256,4096]",2.0,1.5,8.589934592
representative_small,artificial,single-digit-B median-like O-proj,1024,8,128,4096,4096,32,128,4,,False,"[1,1024,4,128]","[128,4096]","[4096,4096]","[128,4096]",1.0,0.875,4.294967296
representative_small,artificial,single-digit-B median-like O-proj,4096,4,1024,4096,4096,32,128,8,,False,"[1,4096,8,128]","[1024,4096]","[4096,4096]","[1024,4096]",8.0,6.0,34.359738368
representative_small,artificial,single-digit-B median-like O-proj,4096,8,512,4096,4096,32,128,4,,False,"[1,4096,4,128]","[512,4096]","[4096,4096]","[512,4096]",4.0,3.5,17.179869184
representative_small,artificial,single-digit-B median-like O-proj,16384,4,4096,4096,4096,32,128,8,,False,"[1,16384,8,128]","[4096,4096]","[4096,4096]","[4096,4096]",32.0,24.0,137.438953472
representative_small,artificial,single-digit-B median-like O-proj,16384,8,2048,4096,4096,32,128,4,,False,"[1,16384,4,128]","[2048,4096]","[4096,4096]","[2048,4096]",16.0,14.0,68.719476736
representative_small,artificial,single-digit-B median-like O-proj,131072,4,32768,4096,4096,32,128,8,,False,"[1,131072,8,128]","[32768,4096]","[4096,4096]","[32768,4096]",256.0,192.0,1099.511627776
representative_small,artificial,single-digit-B median-like O-proj,131072,8,16384,4096,4096,32,128,4,,False,"[1,131072,4,128]","[16384,4096]","[4096,4096]","[16384,4096]",128.0,112.0,549.755813888
representative_small,artificial,single-digit-B median-like O-proj,262144,4,65536,4096,4096,32,128,8,,False,"[1,262144,8,128]","[65536,4096]","[4096,4096]","[65536,4096]",512.0,384.0,2199.023255552
representative_small,artificial,single-digit-B median-like O-proj,262144,8,32768,4096,4096,32,128,4,,False,"[1,262144,4,128]","[32768,4096]","[4096,4096]","[32768,4096]",256.0,224.0,1099.511627776
representative_small,artificial,single-digit-B median-like O-proj,524288,4,131072,4096,4096,32,128,8,,False,"[1,524288,8,128]","[131072,4096]","[4096,4096]","[131072,4096]",1024.0,768.0,4398.046511104
representative_small,artificial,single-digit-B median-like O-proj,524288,8,65536,4096,4096,32,128,4,,False,"[1,524288,4,128]","[65536,4096]","[4096,4096]","[65536,4096]",512.0,448.0,2199.023255552
