model,aliases,global_seq,cp,m,n,k,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,waves,last_wave_ctas,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_small,single-digit-B median-like O-proj,131072,4,32768,4096,4096,4,m128n256_cluster_m2,128,256,64,2,32,128,2.207941766,2.206928015,2.230676889,498.2091034700106,1.437103987,765.0884262531797,1.442384005,762.287729179304,65.11784603903358,65.11784603903358,1.461103916,1.460432053,2.025631905,3.207888126,0.8405518559
representative_small,single-digit-B median-like O-proj,262144,4,65536,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,128,4.362769928,4.359824181,4.406360149,504.3834715021964,2.896640062,759.1634474715071,3.044111967,722.3857990082925,66.4393778681141,66.4393778681141,2.920864105,2.940079927,3.785168171,6.363599777,0.8164361713
representative_small,single-digit-B median-like O-proj,524288,4,131072,4096,4096,4,m128n256_cluster_m2,128,256,64,2,128,128,8.643052769,8.638975143,8.706368446,509.09354851745985,5.834591866,753.7882018334134,5.803936005,757.7696424142431,67.53800965300452,67.18315435486373,5.882575989,6.21216011,7.541296005,12.68145561,0.8147347611
representative_small,single-digit-B median-like O-proj,1048576,4,262144,4096,4096,4,m128n256_cluster_m2,128,256,64,2,256,128,17.26399933,17.17500687,17.89738464,512.1449492734904,11.81001568,744.7994363888939,11.3576479,774.4643168774408,68.76280032602979,66.12892784246088,12.00356865,12.30163193,15.02408028,25.51692772,0.815056023
representative_medium,tens-of-B median-like O-proj,131072,4,32768,5120,5120,4,m128n256_cluster_m2,128,256,64,2,40,128,2.703066249,2.722048044,2.746129751,631.1376179369154,2.197423935,781.8186063400642,2.187344074,785.4214336102661,80.72686078570919,80.35655648405593,2.262048006,2.237951994,2.226032019,4.18318367,0.7985358078
representative_medium,tens-of-B median-like O-proj,262144,4,65536,5120,5120,4,m128n256_cluster_m2,128,256,64,2,80,128,5.429738846,5.435472012,5.467715263,632.1389990076909,4.373120308,785.70302091035,4.322192192,794.9609096883029,80.45520790734227,79.51824942632048,4.510335922,4.5858078,4.394927979,8.397295952,0.800018282
representative_medium,tens-of-B median-like O-proj,524288,4,131072,5120,5120,4,m128n256_cluster_m2,128,256,64,2,160,128,10.80280897,10.81324768,10.88659477,635.5119088144294,9.682127953,709.7559242098977,8.716256142,788.4058891393694,89.53950043064214,80.6071996123925,9.719808578,9.231151581,8.759840012,16.87529564,0.8929442937
representative_medium,tens-of-B median-like O-proj,1048576,4,262144,5120,5120,4,m128n256_cluster_m2,128,256,64,2,320,128,22.45692734,21.77374458,25.94289207,631.2141348357821,18.14336014,757.5165372426985,17.52262497,784.351395451911,83.32677952264287,80.47593699659353,18.86294365,18.99409485,17.45169449,34.24251175,0.8119345503
representative_large,hundreds-of-B median-like O-proj,131072,4,32768,7168,16384,4,m128n256_cluster_m2,128,256,64,2,56,128,11.59296646,11.55270386,11.96859646,666.2147223457004,10.07096004,764.2351239467336,10.04734421,766.0314241818933,87.17405173752978,86.96963353131429,10.80607986,10.51843262,7.359200001,16.81665611,0.957189371
representative_large,hundreds-of-B median-like O-proj,262144,4,65536,7168,16384,4,m128n256_cluster_m2,128,256,64,2,112,128,24.31735741,23.42764664,31.69863129,657.0511765608567,20.23412704,760.7525028598417,20.0575676,767.4491292186397,86.36858559003774,85.61494847610523,21.48880005,22.02275085,14.63566399,34.3194046,0.8213988289
representative_large,hundreds-of-B median-like O-proj,524288,4,131072,7168,16384,4,m128n256_cluster_m2,128,256,64,2,224,128,48.70416893,47.11523438,56.86155319,653.4261366382277,42.49084854,724.5401453620394,40.48830414,760.3757734894352,90.18494569568988,85.93463382448316,44.01430511,44.47958374,29.21115112,71.6401062,0.8383462286
representative_large,hundreds-of-B median-like O-proj,1048576,4,262144,7168,16384,4,m128n256_cluster_m2,128,256,64,2,448,128,96.46974091,95.66433716,102.1616516,643.632235202496,84.01163483,732.9062370950173,82.08540344,750.1047515769633,87.81917831039723,85.80564699121989,89.56158447,90.32077026,58.36132812,147.3792419,0.8734232454
