model,aliases,global_seq,cp,m,n,k,q_heads,head_dim,a2a_input,gemm_input,gemm_weight,gemm_output,payload_mib_per_gpu,gemm_gflop_per_gpu
representative_small,single-digit-B median-like O-proj,131072,8,16384,4096,4096,32,128,"[1,131072,4,128]","[16384,4096]","[4096,4096]","[16384,4096]",128.0,549.755813888
representative_small,single-digit-B median-like O-proj,262144,8,32768,4096,4096,32,128,"[1,262144,4,128]","[32768,4096]","[4096,4096]","[32768,4096]",256.0,1099.511627776
representative_small,single-digit-B median-like O-proj,524288,8,65536,4096,4096,32,128,"[1,524288,4,128]","[65536,4096]","[4096,4096]","[65536,4096]",512.0,2199.023255552
representative_small,single-digit-B median-like O-proj,1048576,8,131072,4096,4096,32,128,"[1,1048576,4,128]","[131072,4096]","[4096,4096]","[131072,4096]",1024.0,4398.046511104
representative_medium,tens-of-B median-like O-proj,131072,8,16384,5120,5120,40,128,"[1,131072,5,128]","[16384,5120]","[5120,5120]","[16384,5120]",160.0,858.9934592
representative_medium,tens-of-B median-like O-proj,262144,8,32768,5120,5120,40,128,"[1,262144,5,128]","[32768,5120]","[5120,5120]","[32768,5120]",320.0,1717.9869184
representative_medium,tens-of-B median-like O-proj,524288,8,65536,5120,5120,40,128,"[1,524288,5,128]","[65536,5120]","[5120,5120]","[65536,5120]",640.0,3435.9738368
representative_medium,tens-of-B median-like O-proj,1048576,8,131072,5120,5120,40,128,"[1,1048576,5,128]","[131072,5120]","[5120,5120]","[131072,5120]",1280.0,6871.9476736
representative_large,hundreds-of-B median-like O-proj,131072,8,16384,7168,16384,128,128,"[1,131072,16,128]","[16384,16384]","[7168,16384]","[16384,7168]",512.0,3848.290697216
representative_large,hundreds-of-B median-like O-proj,262144,8,32768,7168,16384,128,128,"[1,262144,16,128]","[32768,16384]","[7168,16384]","[32768,7168]",1024.0,7696.581394432
representative_large,hundreds-of-B median-like O-proj,524288,8,65536,7168,16384,128,128,"[1,524288,16,128]","[65536,16384]","[7168,16384]","[65536,7168]",2048.0,15393.162788864
representative_large,hundreds-of-B median-like O-proj,1048576,8,131072,7168,16384,128,128,"[1,1048576,16,128]","[131072,16384]","[7168,16384]","[131072,7168]",4096.0,30786.325577728
