model,aliases,global_seq,cp,m,n,k,result_source,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_ctas,compute_clusters,n_tiles,waves,last_wave_clusters,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,v2_auto_p50_ms,v2_over_v3_p50,v1_p50_ms,v1_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_ub_over_v3_p50,best_separated,best_separated_p50_ms,best_separated_over_v3_p50,cublas_p50_ms,cublas_p50_tflops_per_gpu,v3_throughput_as_cublas_percent,exact_mismatches
representative_small,single-digit-B median-like O-proj,1024,4,256,4096,4096,v2_auto_inherited,4,m64n128,64,128,64,1,128,128,32,1,128,true,true,0.04046655968,0.04046399891,0.04169600084,212.2858546706105,0.04046399891,1.0,0.04009599984,0.9909055189819844,0.04388799890875816,0.047515200451016426,1.084618428504158,TE+NCCL,0.08951999992132187,2.2123369497026775,0.02352000028,365.21830313515625,58.12574365749953,0
representative_medium,tens-of-B median-like O-proj,1024,4,256,5120,5120,v2_auto_inherited,4,m128n128,128,128,64,1,128,128,40,1,80,true,false,0.04365184002,0.04335999861,0.04549599811,309.5427405503784,0.04335999861,1.0,0.04366400093,1.0070111238409931,0.04841599985957146,0.0508992001414299,1.1166051986082262,TE+NCCL,0.07467200234532356,1.722140330698769,0.03158399835,424.9548347636612,72.84132694302225,0
representative_large,hundreds-of-B median-like O-proj,1024,4,256,7168,16384,manual_comm_ctas,16,m128n128,128,128,64,1,116,116,56,1,112,true,false,0.1167,0.1156,0.1258,520.151748650519,0.1345120072,1.1635986782006922,0.1339039952,1.1583390588235294,0.12019199877977371,0.12169279865920543,1.0397231728354128,TE+NCCL,0.19547200202941895,1.6909342736108905,0.09651199728,623.0266064181902,83.48788692041522,0
representative_small,single-digit-B median-like O-proj,4096,4,1024,4096,4096,manual_comm_ctas,10,m128n160,128,160,64,1,122,122,26,2,86,false,false,0.0736,0.0736,0.0754,466.84427130434784,0.09281599522,1.261086891576087,0.09251199663,1.256956475951087,0.07916799932718277,0.08468319997191429,1.075652164771505,cuBLASLt+NCCL,0.1422719955444336,1.9330434177232825,0.05062400177,678.7242645120507,68.78261110054348,0
representative_medium,tens-of-B median-like O-proj,4096,4,1024,5120,5120,manual_comm_ctas,13,m128n128,128,128,64,1,119,119,40,3,82,false,false,0.1036,0.1036,0.1047,518.215166023166,0.112560004,1.0864865250965252,0.1118720025,1.079845583976834,0.10630399733781815,0.11198239848017691,1.02610036040365,cuBLASLt+NCCL,0.18752000480890274,1.8100386564565902,0.07391999662,726.2864401359329,71.35134808880309,0
representative_large,hundreds-of-B median-like O-proj,4096,4,1024,7168,16384,v2_auto_inherited,4,m128n256_cluster_m2,128,256,64,2,128,64,28,2,48,false,false,0.3856486392,0.3851519823,0.3918463886,624.4759981234038,0.3851519823,1.0,0.3822880089,0.9925640434643558,0.38940800726413727,0.3922735959291458,1.0110502481091275,cuBLASLt+NCCL,0.6441279947757721,1.6723995315544093,0.338447988,710.6503129101184,87.8738792875739,0
representative_small,single-digit-B median-like O-proj,16384,4,4096,4096,4096,manual_comm_ctas,16,m128n320_cluster_m2,128,320,64,2,116,58,13,4,34,false,false,0.2282,0.228,0.2297,602.802427508772,0.2976480126,1.3054737394736842,0.2976160049,1.3053333548245614,0.25068800151348114,0.25243680328130724,1.0995087785678996,TE+NCCL,0.34750400483608246,1.5241403720880808,0.1768639982,777.088355294232,77.57192903508772,0
representative_medium,tens-of-B median-like O-proj,16384,4,4096,5120,5120,v2_auto_inherited,4,m128n320_cluster_m2,128,320,64,2,128,64,16,4,64,true,true,0.3585964799,0.357648015,0.3649168015,600.4461252217491,0.357648015,1.0,0.3644800186,1.019102590573584,0.3604799956083298,0.3908784061670303,1.0079183456626477,cuBLASLt+NCCL,0.626224011182785,1.7509506132245276,0.2823039889,760.6990097333335,78.93347007671775,0
representative_large,hundreds-of-B median-like O-proj,16384,4,4096,7168,16384,v2_auto_inherited,4,m128n256_cluster_m2,128,256,64,2,128,64,28,7,64,false,true,1.471545594,1.479984045,1.540715218,650.0561121278845,1.479984045,1.0,1.494767904,1.009989201606562,1.502415955066681,1.5777375757694245,1.0151568593880895,TE+NCCL,2.1431679725646973,1.4481020790766008,1.206655979,797.304858259025,81.53168833654554,0
representative_small,single-digit-B median-like O-proj,131072,4,32768,4096,4096,v2_auto_inherited,8,m128n320_cluster_m2,128,320,64,2,124,62,13,27,52,false,false,1.511834228,1.520287991,1.584387183,723.2258850198338,1.520287991,1.0,2.206928015,1.4516512845361282,1.6789600253105164,1.8160336136817934,1.1043697215592334,cuBLASLt+NCCL,3.2811039686203003,2.158212120364174,1.527760029,719.688699079062,100.49148832617465,0
