model,suite,aliases,global_seq,cp,m,n,k,native_max_context,beyond_native_context,result_source,launch,timing,timed_boundary,correctness_scope,self_pack_mismatches,remote_recv_mismatches,post_graph_max_abs,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu
representative_small,artificial,single-digit-B median-like O-proj,1024,4,256,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,16,1,True,False,512,4,False,116,0.04388799890875816,0.047515200451016426,195.72399757524184
representative_small,artificial,single-digit-B median-like O-proj,1024,8,128,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,0.05814399942755699,0.05961599946022034,73.86776517413811
representative_small,artificial,single-digit-B median-like O-proj,4096,4,1024,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,8,False,124,0.07916799932718277,0.08468319997191429,434.0104418453126
representative_small,artificial,single-digit-B median-like O-proj,4096,8,512,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,False,1024,4,False,128,0.09091199934482574,0.10244159810245035,188.97251526542072
representative_small,artificial,single-digit-B median-like O-proj,16384,4,4096,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,0.25068800151348114,0.25243680328130724,548.2470347293786
representative_small,artificial,single-digit-B median-like O-proj,16384,8,2048,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,0.22420799732208252,0.24173759371042247,306.4987759436703
representative_small,artificial,single-digit-B median-like O-proj,131072,4,32768,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,1.6789600253105164,1.8160336136817934,654.8765969414013
representative_small,artificial,single-digit-B median-like O-proj,131072,8,16384,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,1.1209759712219238,1.142031991481781,490.42604658932765
representative_small,artificial,single-digit-B median-like O-proj,262144,4,65536,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,3.6769120693206787,3.7016080260276794,598.0625084565257
representative_small,artificial,single-digit-B median-like O-proj,262144,8,32768,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,2.1101280450820923,2.125880002975464,521.063937488791
representative_small,artificial,single-digit-B median-like O-proj,524288,4,131072,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,False,1024,4,False,120,7.515007972717285,7.560009527206422,585.2351091403765
representative_small,artificial,single-digit-B median-like O-proj,524288,8,65536,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,4.193040132522583,4.253660941123963,524.4460310540937
representative_medium,artificial,tens-of-B median-like O-proj,1024,4,256,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,0.04841599985957146,0.0508992001414299,277.217713956735
representative_medium,artificial,tens-of-B median-like O-proj,1024,8,128,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,True,124,0.06361600011587143,0.0661040000617504,105.49054306741479
representative_medium,artificial,tens-of-B median-like O-proj,4096,4,1024,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,0.10630399733781815,0.11198239848017691,505.033606867957
representative_medium,artificial,tens-of-B median-like O-proj,4096,8,512,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,0.1292639970779419,0.1371439978480339,207.66451762909847
representative_medium,artificial,tens-of-B median-like O-proj,16384,4,4096,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,True,512,4,False,124,0.3604799956083298,0.3908784061670303,595.7289375728058
representative_medium,artificial,tens-of-B median-like O-proj,16384,8,2048,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,False,1024,4,False,128,0.2799680083990097,0.28334079682826996,383.5230425576718
representative_medium,artificial,tens-of-B median-like O-proj,131072,4,32768,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,True,512,4,False,124,2.7995519638061523,2.838547241687775,613.6649508960347
