model,global_seq,cp,m,n,k,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu
small,131072,4,32768,4096,4096,8,1,True,False,1024,4,False,124,1.6789600253105164,1.8160336136817934,654.8765969414013
small,131072,8,16384,4096,4096,8,1,True,False,1024,4,False,124,1.1209759712219238,1.142031991481781,490.42604658932765
small,262144,4,65536,4096,4096,8,1,True,False,1024,4,False,124,3.6769120693206787,3.7016080260276794,598.0625084565257
small,262144,8,32768,4096,4096,8,1,True,False,1024,4,False,124,2.1101280450820923,2.125880002975464,521.063937488791
small,524288,4,131072,4096,4096,12,1,True,False,1024,4,False,120,7.515007972717285,7.560009527206422,585.2351091403765
small,524288,8,65536,4096,4096,8,1,True,False,1024,4,False,124,4.193040132522583,4.253660941123963,524.4460310540937
medium,131072,4,32768,5120,5120,8,1,True,True,512,4,False,124,2.7995519638061523,2.838547241687775,613.6649508960347
medium,131072,8,16384,5120,5120,12,1,True,False,1024,4,False,120,1.5952479839324951,1.614467203617096,538.4701738236764
medium,262144,4,65536,5120,5120,8,1,True,False,512,4,False,124,5.719760179519653,5.797926449775696,600.7199128912698
medium,262144,8,32768,5120,5120,12,1,True,False,1024,4,False,120,3.012735962867737,3.0760112047195434,570.241448163515
medium,524288,4,131072,5120,5120,8,1,True,False,1024,4,False,124,11.256192207336426,11.372284889221191,610.5037606874805
medium,524288,8,65536,5120,5120,12,1,True,True,512,4,False,120,6.004479885101318,6.149176025390625,572.235048255478
large,131072,4,32768,7168,16384,12,1,True,True,512,4,False,120,12.467679977416992,15.839716482162475,617.3226621450825
large,131072,8,16384,7168,16384,4,1,True,True,512,4,False,128,6.242720127105713,6.303449583053588,616.4445336107302
large,262144,4,65536,7168,16384,4,1,True,True,512,4,False,128,24.551295280456543,28.789139461517333,626.979660870168
large,262144,8,32768,7168,16384,4,1,True,True,512,4,False,128,12.986944198608398,16.417628479003906,592.6399064112957
large,524288,4,131072,7168,16384,4,1,True,False,1024,4,False,128,49.46041488647461,52.5919132232666,622.4437390667096
large,524288,8,65536,7168,16384,8,1,True,False,512,4,False,124,26.156208038330078,30.978607940673825,588.5089599496382
