model,scope,cp,global_seq,native_graph_ms,fused_graph_ms,speedup,throughput_gain_percent,measured_steps,workspace_mode,status
Nanbeige4.2-3B,model,8,1024,125.916667,124.016667,1.015321,1.5321,6,per_layer,pass
Nanbeige4.2-3B,model,8,4096,159.133333,156.033333,1.019868,1.9868,6,per_layer,pass
Nanbeige4.2-3B,model,8,16384,343.083333,329.066667,1.042595,4.2595,6,per_layer,pass
Nanbeige4.2-3B,model,8,65536,1979.666667,1928.633333,1.026461,2.6461,6,per_layer,pass
Nanbeige4.2-3B,model,8,131072,6415.000000,6305.966667,1.017291,1.7291,6,per_layer,pass
Llama-3-8B,geometry,8,1024,229.966667,227.283333,1.011806,1.1806,6,per_layer,pass
Llama-3-8B,geometry,8,4096,281.883333,274.616667,1.026461,2.6461,6,per_layer,pass
Llama-3-8B,geometry,8,16384,535.016667,519.433333,1.030001,3.0001,6,per_layer,pass
Llama-3-8B,geometry,8,65536,2425.250000,2378.700000,1.019570,1.9570,6,per_layer,pass
Llama-3-8B,geometry,8,131072,7149.900000,7059.483333,1.012808,1.2808,6,per_layer,pass
Qwen2.5-7B,geometry,4,1024,229.100000,226.833333,1.009993,0.9993,6,per_layer,pass
Qwen2.5-7B,geometry,4,4096,319.966667,313.933333,1.019219,1.9219,6,per_layer,pass
Qwen2.5-7B,geometry,4,16384,772.583333,749.933333,1.030203,3.0203,6,per_layer,pass
Qwen2.5-7B,geometry,4,65536,3837.400000,3763.633333,1.019600,1.9600,6,per_layer,pass
Qwen2.5-7B,geometry,4,131072,11311.883333,11176.400000,1.012122,1.2122,6,shared_across_layers,pass
