world,slow_count,physical_devices,logical_slow_ranks,local_rows,global_seq,slow_sm_ratio,qkv_impl,qkv_uniform_p50_ms,qkv_weighted_p50_ms,qkv_speedup,qkv_rows,qkv_comm,oproj_impl,oproj_uniform_p50_ms,oproj_weighted_p50_ms,oproj_speedup,oproj_rows,oproj_comm
2,0,0|2,,2048,4096,0.7575757576,uniform_fallback,0.239408,0.239408,1.000000,2048|2048,16|16,uniform_fallback,0.114080,0.114080,1.000000,2048|2048,4|4
2,0,0|2,,16384,32768,0.7575757576,uniform_fallback,2.106832,2.106832,1.000000,16384|16384,4|4,uniform_fallback,0.740192,0.740192,1.000000,16384|16384,4|4
2,1,0|1,1,2048,4096,0.7575757576,weighted,0.300288,0.275472,1.090086,2304|1792,24|6,weighted,0.137456,0.113984,1.205924,2304|1792,8|12
2,1,0|1,1,16384,32768,0.7575757576,uniform_fallback,2.546640,2.546640,1.000000,16384|16384,4|4,weighted,0.855936,0.668480,1.280421,17408|15360,8|12
2,2,1|3,0|1,2048,4096,0.7575757576,uniform_fallback,0.302096,0.302096,1.000000,2048|2048,16|16,uniform_fallback,0.138528,0.138528,1.000000,2048|2048,4|4
2,2,1|3,0|1,16384,32768,0.7575757576,uniform_fallback,2.597840,2.597840,1.000000,16384|16384,4|4,uniform_fallback,0.860496,0.860496,1.000000,16384|16384,4|4
4,0,0|2|4|5,,2048,8192,0.7575757576,uniform_fallback,0.254432,0.254432,1.000000,2048|2048|2048|2048,16|16|16|16,uniform_fallback,0.127776,0.127776,1.000000,2048|2048|2048|2048,4|4|4|4
4,0,0|2|4|5,,16384,65536,0.7575757576,uniform_fallback,1.709168,1.709168,1.000000,16384|16384|16384|16384,6|6|6|6,uniform_fallback,0.784048,0.784048,1.000000,16384|16384|16384|16384,4|4|4|4
4,1,0|2|4|1,3,2048,8192,0.7575757576,weighted,0.309072,0.285968,1.080792,2304|2048|2048|1792,24|16|16|6,weighted,0.141376,0.120160,1.176564,2304|2048|2048|1792,8|8|8|12
4,1,0|2|4|1,3,16384,65536,0.7575757576,uniform_fallback,1.973824,1.973824,1.000000,16384|16384|16384|16384,6|6|6|6,weighted,0.889248,0.687568,1.293324,16896|16896|16896|14848,8|8|8|12
4,2,0|2|1|3,2|3,2048,8192,0.7575757576,weighted,0.308896,0.289808,1.065864,2304|2304|1792|1792,24|24|6|6,weighted,0.142592,0.119344,1.194798,2304|2304|1792|1792,8|8|12|12
4,2,0|2|1|3,2|3,16384,65536,0.7575757576,uniform_fallback,1.968032,1.968032,1.000000,16384|16384|16384|16384,6|6|6|6,weighted,0.901008,0.693104,1.299961,17408|17408|15360|15360,8|8|12|12
4,3,0|1|3|6,1|2|3,2048,8192,0.7575757576,uniform_fallback,0.312288,0.312288,1.000000,2048|2048|2048|2048,16|16|16|16,uniform_fallback,0.146272,0.146272,1.000000,2048|2048|2048|2048,4|4|4|4
4,3,0|1|3|6,1|2|3,16384,65536,0.7575757576,uniform_fallback,1.991456,1.991456,1.000000,16384|16384|16384|16384,6|6|6|6,weighted,0.903456,0.744112,1.214140,17920|15872|15872|15872,8|12|12|12
6,1,0|2|4|5|7|1,5,2048,12288,0.7575757576,weighted,0.321936,0.300016,1.073063,2304|2048|2048|2048|2048|1792,24|16|16|16|16|6,uniform_fallback,0.153184,0.153184,1.000000,2048|2048|2048|2048|2048|2048,4|4|4|4|4|4
6,1,0|2|4|5|7|1,5,16384,98304,0.7575757576,uniform_fallback,1.982032,1.982032,1.000000,16384|16384|16384|16384|16384|16384,6|6|6|6|6|6,weighted,0.964096,0.691152,1.394912,16896|16896|16640|16640|16640|14592,8|8|8|8|8|12
6,2,0|2|4|5|1|3,4|5,2048,12288,0.7575757576,weighted,0.322208,0.303440,1.061851,2304|2304|2048|2048|1792|1792,24|24|16|16|6|6,uniform_fallback,0.155584,0.155584,1.000000,2048|2048|2048|2048|2048|2048,4|4|4|4|4|4
6,2,0|2|4|5|1|3,4|5,16384,98304,0.7575757576,uniform_fallback,1.986560,1.986560,1.000000,16384|16384|16384|16384|16384|16384,6|6|6|6|6|6,weighted,0.970640,0.694016,1.398584,17152|17152|17152|17152|14848|14848,8|8|8|8|12|12
6,3,0|2|4|1|3|6,3|4|5,2048,12288,0.7575757576,weighted,0.323792,0.302464,1.070514,2304|2304|2304|1792|1792|1792,24|24|24|6|6|6,weighted,0.155232,0.126272,1.229346,2304|2304|2304|1792|1792|1792,8|8|8|12|12|12
6,3,0|2|4|1|3|6,3|4|5,16384,98304,0.7575757576,uniform_fallback,1.984480,1.984480,1.000000,16384|16384|16384|16384|16384|16384,6|6|6|6|6|6,weighted,0.974480,0.685504,1.421553,17408|17408|17408|15360|15360|15360,8|8|8|12|12|12
8,3,0|2|4|5|7|1|3|6,5|6|7,2048,16384,0.7575757576,weighted,0.331072,0.308256,1.074016,2304|2304|2304|2048|2048|1792|1792|1792,24|24|24|16|16|6|6|6,weighted,0.164672,0.142048,1.159270,2304|2304|2304|2048|2048|1792|1792|1792,8|8|8|8|8|12|12|12
8,3,0|2|4|5|7|1|3|6,5|6|7,16384,131072,0.7575757576,uniform_fallback,2.009360,2.009360,1.000000,16384|16384|16384|16384|16384|16384|16384|16384,6|6|6|6|6|6|6|6,weighted,0.996528,0.702880,1.417778,17408|17408|17408|17152|17152|14848|14848|14848,8|8|8|8|8|12|12|12
