shape,cp,slow_count,local_m,global_s,qkv_mnk,qkv_impl,qkv_speedup,oproj_mnk,oproj_impl,oproj_speedup
production_qwen,4,1,2048,8192,2048x4096x2048,weighted,1.105769,2048x2048x2048,weighted,1.327833
production_qwen,8,3,2048,16384,2048x4096x2048,weighted,1.078855,2048x2048x2048,weighted,1.545404
llama3_8b,4,1,2048,8192,2048x6144x4096,weighted,1.158645,2048x4096x4096,uniform_fallback,1.000000
llama3_8b,8,3,2048,16384,2048x6144x4096,weighted,1.139673,2048x4096x4096,weighted,1.258189
nanbeige42_3b,4,1,2048,8192,2048x8192x3072,weighted,1.132576,2048x3072x6144,weighted,1.353917
nanbeige42_3b,8,3,2048,16384,2048x8192x3072,weighted,1.129799,2048x3072x6144,weighted,1.335527
nanbeige42_3b,4,1,16384,65536,16384x8192x3072,uniform_fallback,1.000000,16384x3072x6144,weighted,1.731852
nanbeige42_3b,8,3,16384,131072,16384x8192x3072,uniform_fallback,1.000000,16384x3072x6144,weighted,1.726769
qwen25_14b_32b,4,1,2048,8192,2048x7168x5120,uniform_fallback,1.000000,2048x5120x5120,uniform_fallback,1.000000
qwen25_14b_32b,8,3,2048,16384,2048x7168x5120,uniform_fallback,1.000000,2048x5120x5120,uniform_fallback,1.000000
llama31_405b,4,1,2048,8192,2048x18432x16384,uniform_fallback,1.000000,2048x16384x16384,uniform_fallback,1.000000
llama31_405b,8,3,2048,16384,2048x18432x16384,uniform_fallback,1.000000,2048x16384x16384,uniform_fallback,1.000000
llama31_405b,4,1,16384,65536,16384x18432x16384,uniform_fallback,1.000000,16384x16384x16384,uniform_fallback,1.000000
llama31_405b,8,3,16384,131072,16384x18432x16384,uniform_fallback,1.000000,16384x16384x16384,uniform_fallback,1.000000
v9_control,4,1,2048,8192,2048x9216x4096,weighted,1.063836,2048x4096x3072,weighted,1.202946
v9_control,8,3,2048,16384,2048x9216x4096,weighted,1.075552,2048x4096x3072,weighted,1.214635
v9_control,4,1,16384,65536,16384x9216x4096,uniform_fallback,1.000000,16384x4096x3072,weighted,1.308799
v9_control,8,3,16384,131072,16384x9216x4096,uniform_fallback,1.000000,16384x4096x3072,weighted,1.418503
