model,aliases,global_seq,cp,m,n,k,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_clusters,n_tiles,waves,last_wave_clusters,last_wave_ctas,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_small,single-digit-B median-like O-proj,1024,4,256,4096,4096,4,m64n128,64,128,64,1,128,32,1,128,128,True,True,0.04068928018,0.04060800001,0.04201919958,211.53306220165163,0.02324800007,369.49133543253646,0.02246399969,382.3866947355713,57.24980315276551,55.31914815915112,0.02864000015,0.02875199914,0.0212159995,0.04659200087,0.4349130948
representative_small,single-digit-B median-like O-proj,1024,8,128,4096,4096,4,m64n128,64,128,64,1,128,32,1,64,64,True,False,0.03207296006,0.0318400003,0.03357759863,134.89218767375453,0.02259200066,190.11009076342688,0.02260800079,189.97554608631097,70.95477527366732,70.95477527366732,0.02347199991,0.02352000028,0.02076799981,0.04046399891,0.5971321075
representative_small,single-digit-B median-like O-proj,4096,4,1024,4096,4096,4,m128n128,128,128,64,1,128,32,2,128,128,True,True,0.09260224015,0.09248000383,0.09459520131,371.5369479348344,0.05060800165,678.9388485565702,0.04927999899,697.2349649392719,54.72318290884742,53.28719393285085,0.05934400111,0.055151999,0.06487999856,0.1199840009,0.5397559127
representative_small,single-digit-B median-like O-proj,4096,8,512,4096,4096,4,m128n128,128,128,64,1,128,32,1,128,128,True,True,0.0621945601,0.06199999899,0.06446880102,277.09466877202607,0.03945599869,435.4184345701072,0.03867200017,444.2456844352046,63.63870860121122,62.3741948386764,0.03840000182,0.03841599822,0.04495999962,0.08163200319,0.5548288065
representative_small,single-digit-B median-like O-proj,16384,4,4096,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,4,64,128,True,True,0.2980115217,0.2979040146,0.3022032082,461.35314308046924,0.1766560078,778.0032798409022,0.1751199961,784.827298611389,59.2996398646049,58.78403362074061,0.1750079989,0.1735999882,0.2481600046,0.4231840074,0.7167765446
representative_small,single-digit-B median-like O-proj,16384,8,2048,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,2,64,128,True,True,0.1919347209,0.1917279959,0.1962704062,358.4217130806613,0.1179520041,582.6054187069128,0.1169599965,587.546843300393,61.520490811117895,61.00308718660111,0.1186400056,0.1184,0.1492320001,0.2760480046,0.638959533
representative_small,single-digit-B median-like O-proj,131072,4,32768,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,32,64,128,True,True,2.209282565,2.208287954,2.237823963,497.90228932073404,1.473664045,746.1073855377939,1.451663971,757.4146977131252,66.73332806668925,65.7370778285738,1.502831936,1.467920065,1.97913599,3.235471964,0.8433323071
representative_small,single-digit-B median-like O-proj,131072,8,16384,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,16,64,128,True,True,1.310389118,1.30953598,1.323619246,419.8096289710192,0.8456479907,650.1000651972578,0.8242080212,667.0109969174855,64.57615549440649,62.93893667587508,0.8442399502,0.8363839984,1.158895969,2.002304077,0.8203670872
representative_small,single-digit-B median-like O-proj,262144,4,65536,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,64,64,128,True,True,4.363528996,4.361216068,4.395990372,504.22249695150856,2.896463871,759.2096271488414,3.098655939,709.6700307623279,66.41413371496364,66.41413371496364,2.914896011,2.934463978,3.844543934,6.421599865,0.8350097228
representative_small,single-digit-B median-like O-proj,262144,8,32768,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,32,64,128,True,True,2.596268802,2.597631931,2.617726326,423.27460432499583,1.630991936,674.1367651838592,1.621072054,678.2620334876243,62.78764579907684,62.40576405972737,1.653823972,1.653167963,2.298175812,3.963744164,0.8193197737
representative_small,single-digit-B median-like O-proj,524288,4,131072,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,128,64,128,True,True,8.654461403,8.649152756,8.727241516,508.4944890183646,5.886975765,747.0807909982963,5.866975784,749.6275207233751,68.06418999729365,67.83295369514688,5.876015663,6.292464256,7.653952122,12.80206394,0.8314506024
representative_small,single-digit-B median-like O-proj,524288,8,65536,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,16,64,64,128,True,True,5.089656954,5.08614397,5.123358727,432.35568409440833,3.184239864,690.5959819212916,3.184256077,690.5924656737335,62.60616849978786,62.60616849978786,3.233488083,3.290751934,4.545392036,7.816080093,0.8319947894
representative_medium,tens-of-B median-like O-proj,1024,4,256,5120,5120,4,m128n128,128,128,64,1,128,40,1,80,80,True,False,0.04364928,0.04358400032,0.0447040014,307.9518332749498,0.03158399835,424.9548347636612,0.03076799959,436.2250708155317,72.46695603456715,70.59471219735894,0.03480000049,0.03471999988,0.02636799961,0.05828800052,0.6650526546
representative_medium,tens-of-B median-like O-proj,1024,8,128,5120,5120,4,m64n128,64,128,64,1,128,40,1,80,80,True,False,0.03822784007,0.03824000061,0.03899359703,175.4938884139312,0.02788800001,240.63706244957078,0.02732799947,245.56815464545969,72.9288691556849,71.46443262046799,0.03136000037,0.03129599988,0.02118399926,0.04817599803,0.6846986513
representative_medium,tens-of-B median-like O-proj,4096,4,1024,5120,5120,4,m128n160,128,160,64,1,128,32,2,128,128,True,True,0.1130457605,0.1131359935,0.1170575991,474.5359062056586,0.07388799638,726.6009883918306,0.07310399413,734.3934054345766,65.30900917929358,64.61603585953395,0.07705599815,0.0742879957,0.07497599721,0.153264001,0.5208828528
representative_medium,tens-of-B median-like O-proj,4096,8,512,5120,5120,4,m128n160,128,160,64,1,128,32,1,128,128,True,True,0.08234432012,0.08243200183,0.08360480517,325.6447132675438,0.05617599934,477.847228627513,0.05539200082,484.61050697969716,68.14828961190592,67.19720447191764,0.0514880009,0.05156800151,0.05972800031,0.1090559959,0.559927553
representative_medium,tens-of-B median-like O-proj,16384,4,4096,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,4,64,128,True,True,0.3585798389,0.3584159911,0.3637295961,599.1595523986653,0.2760320008,777.9835822571771,0.2773759961,774.2139472031985,77.01442113473826,77.01442113473826,0.2645440102,0.2677760124,0.2981119752,0.5578399897,0.7692853006
representative_medium,tens-of-B median-like O-proj,16384,8,2048,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,2,64,128,True,True,0.2547782427,0.2550240159,0.2585119903,421.03557196787125,0.1792159975,599.1328000727167,0.1770560145,606.4418805722073,70.27416491248187,69.42719252347872,0.1753599942,0.1741439998,0.212687999,0.3871999979,0.7599916615
representative_medium,tens-of-B median-like O-proj,131072,4,32768,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,32,64,128,True,True,2.597525764,2.607408047,2.635217667,658.886866739811,2.233743906,769.1064825226209,2.194144011,782.9873106720158,85.6691344713028,84.15038887083715,2.234143972,2.201087952,2.253488064,4.242400169,0.8670642067
representative_medium,tens-of-B median-like O-proj,131072,8,16384,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,16,64,128,True,True,1.777219203,1.776864052,1.794604778,483.432290857106,1.275712013,673.3443366892557,1.281455994,670.3261471497709,71.79570162185937,71.79570162185937,1.292271972,1.296656013,1.585487962,2.887392044,0.852234609
representative_medium,tens-of-B median-like O-proj,262144,4,65536,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,64,64,128,True,True,5.217902718,5.223407745,5.24504137,657.8031056620106,4.377056122,784.9965230123681,4.327983856,793.8971010801292,83.7969451301183,82.85747671417904,4.385647774,4.447631836,4.450639725,8.414400101,0.8311347963
representative_medium,tens-of-B median-like O-proj,262144,8,32768,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,32,64,128,True,True,3.528087049,3.526063919,3.55170393,487.22512066293604,2.447679996,701.8837924922927,2.443632126,703.0464610940379,69.41677894183405,69.30198039895487,2.542032003,2.545040131,3.150671959,5.704144001,0.8520067665
representative_medium,tens-of-B median-like O-proj,524288,4,131072,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,128,64,128,True,True,10.42737541,10.42550468,10.47226906,659.1477232543913,9.176464081,748.8666236735417,8.803808212,780.5653540059194,88.01937520208375,84.4449116107442,9.518079758,8.890367508,8.86558342,16.77183914,0.9092941936
representative_medium,tens-of-B median-like O-proj,524288,8,65536,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,64,64,128,True,True,7.008753901,7.016352177,7.062499046,489.70943164217397,4.950143814,694.1159622640411,4.950832367,694.0194258449632,70.55153004187633,70.55153004187633,5.013167858,5.085552216,6.243535995,11.29846382,0.8473802498
representative_large,hundreds-of-B median-like O-proj,1024,4,256,7168,16384,4,m128n128,128,128,64,1,128,56,1,112,112,True,False,0.135134719,0.1350719929,0.1405200064,445.16661709816236,0.09611199796,625.6195211863641,0.09236800671,650.9780202660821,71.15612637118349,68.38427769284806,0.1022879928,0.1035680026,0.06480000168,0.1694560051,0.4904404667
representative_large,hundreds-of-B median-like O-proj,1024,8,128,7168,16384,4,m64n128,64,128,64,1,128,56,1,112,112,True,False,0.1124595201,0.1123359948,0.1150320023,267.63257071365695,0.09241600335,325.319966046768,0.07366400212,408.13382665557515,82.2674900547549,65.57470938068374,0.1066880003,0.1067039967,0.04596799985,0.1489119977,0.8763819046
representative_large,hundreds-of-B median-like O-proj,4096,4,1024,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,2,48,96,False,False,0.3843219179,0.3841120005,0.3883999884,626.1667645450198,0.3388000131,709.9119223026971,0.3088479936,778.7590450968046,88.2034439587888,80.40571322894661,0.3220799863,0.3376640081,0.248367995,0.5867840052,0.7499286726
representative_large,hundreds-of-B median-like O-proj,4096,8,512,7168,16384,4,m128n128,128,128,64,1,128,56,2,96,96,False,False,0.2622867209,0.262575984,0.267265588,457.99727170783456,0.1959359944,613.7671878832693,0.1955360025,615.022720882309,74.62068366465687,74.46834989295898,0.2237759978,0.2221760005,0.1521439999,0.3939360082,0.7489638362
representative_large,hundreds-of-B median-like O-proj,16384,4,4096,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,7,64,128,False,True,1.480280962,1.458303928,1.580800056,659.7202790391167,1.203119993,799.6481480663085,1.250015974,769.6483039535941,82.50132019119131,82.50132019119131,1.325344086,1.269808054,1.001663923,2.085343838,0.8392680372
representative_large,hundreds-of-B median-like O-proj,16384,8,2048,7168,16384,4,m128n320_cluster_m2,128,320,64,2,64,23,3,56,112,False,False,0.8005107176,0.8005599976,0.80904001,600.8748108750119,0.6992319822,687.9495638035762,0.6999679804,687.2262026573123,87.3428580364031,87.3428580364031,0.7658720016,0.7618720531,0.5736160278,1.354608059,0.9391731311
representative_large,hundreds-of-B median-like O-proj,131072,4,32768,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,56,64,128,False,True,11.74545853,11.68718338,12.02295494,658.5488688064036,10.05459213,765.4792253051841,10.11577606,760.849325724595,86.03092638390687,86.03092638390687,10.81104088,11.06737614,7.394752026,16.8626709,0.9204134534
representative_large,hundreds-of-B median-like O-proj,131072,8,16384,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,28,64,128,False,True,5.733784304,5.727071762,5.780996799,671.9473506076876,5.494048119,700.4472137598326,5.496208191,700.1719300803684,95.93119044629147,95.93119044629147,5.55164814,5.82713604,4.354880333,9.948304176,0.9602798603
representative_large,hundreds-of-B median-like O-proj,262144,4,65536,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,112,64,128,False,True,24.35841537,23.54452896,30.46219444,653.789371408346,20.05924797,767.3848397450166,20.05366516,767.5984746951863,85.1970663931261,85.17335468494333,21.86046219,22.05502319,14.74160004,34.42971039,0.8449453957
representative_large,hundreds-of-B median-like O-proj,262144,8,32768,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,56,64,128,False,True,11.33210503,11.35478401,11.39684772,677.8271949209891,10.97548771,701.2518803532969,10.69471931,719.6618416376184,96.65959035710448,94.18690219542098,11.03873634,11.18560028,8.665071487,19.63755226,1.009737747
representative_large,hundreds-of-B median-like O-proj,524288,4,131072,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,224,64,128,False,True,48.52995842,46.99143982,55.00903702,655.1475267762503,41.59073639,740.2207378355101,40.300354,763.9219640037902,88.5070484099076,85.76105383101667,44.15441895,44.9677887,29.39067078,71.94937897,0.853662568
representative_large,hundreds-of-B median-like O-proj,524288,8,65536,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,112,64,128,False,True,23.84838139,23.02588654,29.25135612,668.5155319480698,21.6923027,709.6140507417869,21.71188736,708.9739612974854,94.20832792829353,94.20832792829353,21.7832489,22.35977554,17.25495911,39.06734467,0.9026788139
