model,aliases,global_seq,cp,m,n,k,q_heads,head_dim,a2a_input,gemm_input,gemm_weight,gemm_output,payload_mib_per_gpu,gemm_gflop_per_gpu
representative_small,single-digit-B median-like O-proj,131072,4,32768,4096,4096,32,128,"[1,131072,8,128]","[32768,4096]","[4096,4096]","[32768,4096]",256.0,1099.511627776
representative_small,single-digit-B median-like O-proj,262144,4,65536,4096,4096,32,128,"[1,262144,8,128]","[65536,4096]","[4096,4096]","[65536,4096]",512.0,2199.023255552
representative_small,single-digit-B median-like O-proj,524288,4,131072,4096,4096,32,128,"[1,524288,8,128]","[131072,4096]","[4096,4096]","[131072,4096]",1024.0,4398.046511104
representative_small,single-digit-B median-like O-proj,1048576,4,262144,4096,4096,32,128,"[1,1048576,8,128]","[262144,4096]","[4096,4096]","[262144,4096]",2048.0,8796.093022208
representative_medium,tens-of-B median-like O-proj,131072,4,32768,5120,5120,40,128,"[1,131072,10,128]","[32768,5120]","[5120,5120]","[32768,5120]",320.0,1717.9869184
representative_medium,tens-of-B median-like O-proj,262144,4,65536,5120,5120,40,128,"[1,262144,10,128]","[65536,5120]","[5120,5120]","[65536,5120]",640.0,3435.9738368
representative_medium,tens-of-B median-like O-proj,524288,4,131072,5120,5120,40,128,"[1,524288,10,128]","[131072,5120]","[5120,5120]","[131072,5120]",1280.0,6871.9476736
representative_medium,tens-of-B median-like O-proj,1048576,4,262144,5120,5120,40,128,"[1,1048576,10,128]","[262144,5120]","[5120,5120]","[262144,5120]",2560.0,13743.8953472
representative_large,hundreds-of-B median-like O-proj,131072,4,32768,7168,16384,128,128,"[1,131072,32,128]","[32768,16384]","[7168,16384]","[32768,7168]",1024.0,7696.581394432
representative_large,hundreds-of-B median-like O-proj,262144,4,65536,7168,16384,128,128,"[1,262144,32,128]","[65536,16384]","[7168,16384]","[65536,7168]",2048.0,15393.162788864
representative_large,hundreds-of-B median-like O-proj,524288,4,131072,7168,16384,128,128,"[1,524288,32,128]","[131072,16384]","[7168,16384]","[131072,7168]",4096.0,30786.325577728
representative_large,hundreds-of-B median-like O-proj,1048576,4,262144,7168,16384,128,128,"[1,1048576,32,128]","[262144,16384]","[7168,16384]","[262144,7168]",8192.0,61572.651155456
