model,aliases,global_seq,cp,m,n,k,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,waves,last_wave_ctas,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_small,single-digit-B median-like O-proj,131072,8,16384,4096,4096,4,m128n256_cluster_m2,128,256,64,2,16,128,1.372549765,1.373888016,1.384780765,400.1460144390691,0.8481439948,648.1868848433425,0.8475680351,648.6273562961081,61.73312416461169,61.69120228354914,0.8476160169,0.835424006,1.213216066,2.056783915,0.814696384
representative_small,single-digit-B median-like O-proj,262144,8,32768,4096,4096,4,m128n256_cluster_m2,128,256,64,2,32,128,2.71025857,2.708335876,2.732775927,405.9731429618296,1.618351936,679.4020529883063,1.625872016,676.2596421832997,59.75447692219693,59.75447692219693,1.657743931,1.654272079,2.4228158,4.086256027,0.8274538874
representative_small,single-digit-B median-like O-proj,524288,8,65536,4096,4096,4,m128n256_cluster_m2,128,256,64,2,64,128,5.314771824,5.314975739,5.341102123,413.7409771066501,3.186063766,690.2006416251996,3.179552078,691.6141650163593,59.94502933703796,59.82251348146746,3.242591858,3.29292798,4.806704044,8.081711769,0.8436159762
representative_small,single-digit-B median-like O-proj,1048576,8,131072,4096,4096,4,m128n256_cluster_m2,128,256,64,2,128,128,10.69580288,10.69134331,10.77310848,411.3651936506751,6.344304085,693.2275710904863,6.260975838,702.4538386509582,59.3405702262497,58.56117100031652,6.398943901,6.563008308,9.59201622,16.04105759,0.8273972225
representative_medium,tens-of-B median-like O-proj,131072,8,16384,5120,5120,4,m128n256_cluster_m2,128,256,64,2,20,128,1.835363843,1.834272027,1.857439995,468.30210925960984,1.285167933,668.3900501585266,1.284847975,668.5564953316754,70.06419517294422,70.04675184963718,1.311840057,1.286512017,1.567952037,2.86473608,0.7971694076
representative_medium,tens-of-B median-like O-proj,262144,8,32768,5120,5120,4,m128n256_cluster_m2,128,256,64,2,40,128,3.567975039,3.567888021,3.591035128,481.5136877301677,2.44699192,702.081157015018,2.436655998,705.0592778833445,68.58376455755925,68.29407155320584,2.494959831,2.558207989,3.122431993,5.622015953,0.8207679701
representative_medium,tens-of-B median-like O-proj,524288,8,65536,5120,5120,4,m128n256_cluster_m2,128,256,64,2,80,128,7.111943703,7.107279778,7.161022186,483.4442915045746,4.949999809,694.136155430304,4.955135822,693.416681243092,69.64689675397777,69.64689675397777,4.977871895,5.102591991,6.174623966,11.20489597,0.8131986156
representative_medium,tens-of-B median-like O-proj,1048576,8,131072,5120,5120,4,m128n256_cluster_m2,128,256,64,2,160,128,14.07769989,14.06870461,14.22199535,488.45631947631034,9.851184845,697.5757517216701,9.683631897,709.645693546957,70.02197514331066,68.83101298549477,9.938575745,10.18595123,12.2976799,22.33619308,0.8219856072
representative_large,hundreds-of-B median-like O-proj,131072,8,16384,7168,16384,4,m128n256_cluster_m2,128,256,64,2,28,128,5.728811512,5.723855972,5.788371086,672.3248656222477,5.518352032,697.3623057935423,5.494591713,700.3779167269312,96.40969407676774,95.99458371906077,5.518928051,5.747407913,4.313072205,9.898927689,0.951323135
representative_large,hundreds-of-B median-like O-proj,262144,8,32768,7168,16384,4,m128n256_cluster_m2,128,256,64,2,56,128,11.32714123,11.31001663,11.48974705,680.5101748494953,10.97846413,701.061760852335,10.87924767,707.4552972679958,97.0685056366712,96.19126148004612,11.20299149,11.15617561,8.600255966,19.52227211,1.02055322
representative_large,hundreds-of-B median-like O-proj,524288,8,65536,7168,16384,4,m128n256_cluster_m2,128,256,64,2,112,128,23.57457157,22.94919968,27.83270454,670.7494380415798,21.70755196,709.1155565228462,21.70043182,709.3482247978603,94.58958160932261,94.5585559522222,21.69499207,22.55968094,17.07564735,38.8336792,0.9088918163
representative_large,hundreds-of-B median-like O-proj,1048576,8,131072,7168,16384,4,m128n256_cluster_m2,128,256,64,2,224,128,47.84179329,46.76080322,56.05784988,658.3788869683151,43.19136047,712.7889754505804,43.20484924,712.56643916779,92.36659230765027,92.36659230765027,44.60456085,45.48838425,34.08375931,77.78384399,0.9088975597
