model,projection,sequence,cp,m,n,k,p50_ms,p95_ms,pflops_per_gpu,algorithm,run_id
qwen35_397b,gdn_input_packed,65536,4,16384,20608,4096,1.7767360210418701,1.8217600584030151,1.5567641483409864,66,20260908-140154-d4d2b3
qwen35_397b,gdn_input_packed,65536,8,8192,20608,4096,0.982560008764267,0.9956607967615128,1.407526723025627,66,20260908-140154-d4d2b3
qwen35_397b,gdn_input_packed,131072,4,32768,20608,4096,3.688591957092285,3.7034095406532286,1.4997370111951358,66,20260908-140154-d4d2b3
qwen35_397b,gdn_input_packed,131072,8,16384,20608,4096,1.7767360210418701,1.8217600584030151,1.5567641483409864,66,20260908-140154-d4d2b3
qwen35_397b,gdn_input_packed,262144,4,65536,20608,4096,7.421776056289673,7.4669743299484255,1.4907261645438386,66,20260908-140154-d4d2b3
qwen35_397b,gdn_input_packed,262144,8,32768,20608,4096,3.688591957092285,3.7034095406532286,1.4997370111951358,66,20260908-140154-d4d2b3
qwen35_397b,gdn_input_packed,524288,4,131072,20608,4096,14.94539213180542,15.085782718658447,1.4805681452748174,66,20260908-140154-d4d2b3
qwen35_397b,gdn_input_packed,524288,8,65536,20608,4096,7.421776056289673,7.4669743299484255,1.4907261645438386,66,20260908-140154-d4d2b3
qwen35_397b,full_input_packed,65536,4,16384,17408,4096,1.5493759512901306,1.5874112129211426,1.5080021134176507,66,20260908-140154-d4d2b3
qwen35_397b,full_input_packed,65536,8,8192,17408,4096,0.8299359977245331,0.8403231918811798,1.407615897749927,66,20260908-140154-d4d2b3
qwen35_397b,full_input_packed,131072,4,32768,17408,4096,3.06441593170166,3.0838127017021177,1.5248988786757613,66,20260908-140154-d4d2b3
qwen35_397b,full_input_packed,131072,8,16384,17408,4096,1.5493759512901306,1.5874112129211426,1.5080021134176507,66,20260908-140154-d4d2b3
qwen35_397b,full_input_packed,262144,4,65536,17408,4096,6.241375923156738,6.2666078329086305,1.4974020073716523,66,20260908-140154-d4d2b3
qwen35_397b,full_input_packed,262144,8,32768,17408,4096,3.06441593170166,3.0838127017021177,1.5248988786757613,66,20260908-140154-d4d2b3
qwen35_397b,full_input_packed,524288,4,131072,17408,4096,12.638991832733154,12.768223810195924,1.4788915065031703,66,20260908-140154-d4d2b3
qwen35_397b,full_input_packed,524288,8,65536,17408,4096,6.241375923156738,6.2666078329086305,1.4974020073716523,66,20260908-140154-d4d2b3
qwen35_397b,gdn_o,65536,4,16384,4096,8192,0.7641119956970215,0.7886143922805786,1.4389404092171432,66,20260908-135227-2a9f00
qwen35_397b,gdn_o,65536,8,8192,4096,8192,0.4191039949655533,0.4248879969120026,1.3117408101375534,66,20260908-135227-2a9f00
qwen35_397b,gdn_o,131072,4,32768,4096,8192,1.5545439720153809,1.5669568479061127,1.4145777122670176,66,20260908-135227-2a9f00
qwen35_397b,gdn_o,131072,8,16384,4096,8192,0.7641119956970215,0.7886143922805786,1.4389404092171432,66,20260908-135227-2a9f00
qwen35_397b,gdn_o,262144,4,65536,4096,8192,3.0799520015716553,3.1090047717094422,1.427959432114442,66,20260908-135227-2a9f00
qwen35_397b,gdn_o,262144,8,32768,4096,8192,1.5545439720153809,1.5669568479061127,1.4145777122670176,66,20260908-135227-2a9f00
qwen35_397b,gdn_o,524288,4,131072,4096,8192,5.934639930725098,5.999384045600891,1.4821611967844002,66,20260908-135227-2a9f00
qwen35_397b,gdn_o,524288,8,65536,4096,8192,3.0799520015716553,3.1090047717094422,1.427959432114442,66,20260908-135227-2a9f00
qwen35_397b,full_o,65536,4,16384,4096,8192,0.7641119956970215,0.7886143922805786,1.4389404092171432,66,20260908-135227-2a9f00
qwen35_397b,full_o,65536,8,8192,4096,8192,0.4191039949655533,0.4248879969120026,1.3117408101375534,66,20260908-135227-2a9f00
qwen35_397b,full_o,131072,4,32768,4096,8192,1.5545439720153809,1.5669568479061127,1.4145777122670176,66,20260908-135227-2a9f00
qwen35_397b,full_o,131072,8,16384,4096,8192,0.7641119956970215,0.7886143922805786,1.4389404092171432,66,20260908-135227-2a9f00
qwen35_397b,full_o,262144,4,65536,4096,8192,3.0799520015716553,3.1090047717094422,1.427959432114442,66,20260908-135227-2a9f00
qwen35_397b,full_o,262144,8,32768,4096,8192,1.5545439720153809,1.5669568479061127,1.4145777122670176,66,20260908-135227-2a9f00
qwen35_397b,full_o,524288,4,131072,4096,8192,5.934639930725098,5.999384045600891,1.4821611967844002,66,20260908-135227-2a9f00
qwen35_397b,full_o,524288,8,65536,4096,8192,3.0799520015716553,3.1090047717094422,1.427959432114442,66,20260908-135227-2a9f00
glm5,mla_input_packed,65536,4,16384,2624,6144,0.3933759927749634,0.4024032011628151,1.3429415803475608,66,20260908-140154-d4d2b3
glm5,mla_input_packed,65536,8,8192,2624,6144,0.21724800020456314,0.22011999562382698,1.2158477337203673,66,20260908-140154-d4d2b3
glm5,mla_input_packed,131072,4,32768,2624,6144,0.7425599992275238,0.7842544078826904,1.4228640862894966,66,20260908-140154-d4d2b3
glm5,mla_input_packed,131072,8,16384,2624,6144,0.3933759927749634,0.4024032011628151,1.3429415803475608,66,20260908-140154-d4d2b3
glm5,mla_input_packed,262144,4,65536,2624,6144,1.5446720123291016,1.5573615610599518,1.3680081549776837,66,20260908-140154-d4d2b3
glm5,mla_input_packed,262144,8,32768,2624,6144,0.7425599992275238,0.7842544078826904,1.4228640862894966,66,20260908-140154-d4d2b3
glm5,mla_input_packed,524288,4,131072,2624,6144,3.1164159774780273,3.1607200264930726,1.3561244229931424,66,20260908-140154-d4d2b3
glm5,mla_input_packed,524288,8,65536,2624,6144,1.5446720123291016,1.5573615610599518,1.3680081549776837,66,20260908-140154-d4d2b3
glm5,mla_q_b,65536,4,16384,16384,2048,0.7974720001220703,0.8013135969638825,1.378746373048453,66,20260908-110831-0ab56f
glm5,mla_q_b,65536,8,8192,16384,2048,0.38836801052093506,0.3938255921006203,1.415553802051277,66,20260908-110831-0ab56f
glm5,mla_q_b,131072,4,32768,16384,2048,1.5085440278053284,1.5148432075977325,1.457712347150517,66,20260908-110831-0ab56f
glm5,mla_q_b,131072,8,16384,16384,2048,0.7974720001220703,0.8013135969638825,1.378746373048453,66,20260908-110831-0ab56f
glm5,mla_q_b,262144,4,65536,16384,2048,3.041599988937378,3.0552271962165833,1.4459647971791696,66,20260908-110831-0ab56f
glm5,mla_q_b,262144,8,32768,16384,2048,1.5085440278053284,1.5148432075977325,1.457712347150517,66,20260908-110831-0ab56f
glm5,mla_q_b,524288,4,131072,16384,2048,6.082959890365601,6.120076870918274,1.4460218677653214,66,20260908-110831-0ab56f
glm5,mla_q_b,524288,8,65536,16384,2048,3.041599988937378,3.0552271962165833,1.4459647971791696,66,20260908-110831-0ab56f
glm5,mla_kv_b,65536,4,16384,28672,512,0.4227840006351471,0.4260416105389595,1.1377827364075759,66,20260908-110831-0ab56f
glm5,mla_kv_b,65536,8,8192,28672,512,0.2065119966864586,0.20926879495382308,1.164669231982547,66,20260908-110831-0ab56f
glm5,mla_kv_b,131072,4,32768,28672,512,0.8549119830131531,0.8610447943210602,1.1253470455673777,66,20260908-110831-0ab56f
glm5,mla_kv_b,131072,8,16384,28672,512,0.4227840006351471,0.4260416105389595,1.1377827364075759,66,20260908-110831-0ab56f
glm5,mla_kv_b,262144,4,65536,28672,512,1.600592017173767,1.609094399213791,1.202146035943341,66,20260908-110831-0ab56f
glm5,mla_kv_b,262144,8,32768,28672,512,0.8549119830131531,0.8610447943210602,1.1253470455673777,66,20260908-110831-0ab56f
glm5,mla_kv_b,524288,4,131072,28672,512,3.177135944366455,3.204580771923065,1.2112452109704668,66,20260908-110831-0ab56f
glm5,mla_kv_b,524288,8,65536,28672,512,1.600592017173767,1.609094399213791,1.202146035943341,66,20260908-110831-0ab56f
glm5,mla_o,65536,4,16384,6144,16384,2.291408061981201,2.3226816296577453,1.4395231203280376,66,20260908-110831-0ab56f
glm5,mla_o,65536,8,8192,6144,16384,1.174784004688263,1.1949312150478364,1.4038899364327355,66,20260908-110831-0ab56f
glm5,mla_o,131072,4,32768,6144,16384,4.37064003944397,4.429934453964234,1.509405878113741,66,20260908-110831-0ab56f
glm5,mla_o,131072,8,16384,6144,16384,2.291408061981201,2.3226816296577453,1.4395231203280376,66,20260908-110831-0ab56f
