id,model,global_seq,cp,direction,m,n,k,hidden,q_heads,kv_heads,head_dim,status,reason,tile,raster,max_swizzle_size,baseline_comm_ctas,comm_ctas,compute_ctas,model_top2_comm_ctas,baseline_p50_ms,fused_p50_ms,fused_p95_ms,baseline_pflops,fused_pflops,gain_pct,pure_pflops,pure_p50_ms,pure_retained_pct,baseline_half_drift,winner_half_drift,either_drift_gt_5pct,run_id,source_id,pure_run_id,baseline_sample_id,winner_sample_id,pure_sample_id
llama31_405b-cp4-s131072,llama31_405b,131072,4,oproj,32768,16384,16384,16384,128,8,128,verified_quick,,m128n256k64e32,along_n,8,8,8,140,16;8,12.50761604309082,12.50761604309082,12.664569282531739,1.406517915469102,1.406517915469102,0.0,1.5029377086705076,11.705199718475342,93.58457821337798,0.08548006867763827,0.08548006867763827,1,20260909-223457-901cbc,66f8d678bd3e0470114a3cc7012a5f8bf3824219e41032347546751acb162370,20260908-162144-7a92bd,llama31_405b-cp4-s131072:comm8,llama31_405b-cp4-s131072:comm8,20260908-162144-7a92bd:32768x16384x16384
llama31_405b-cp8-s131072,llama31_405b,131072,8,oproj,16384,16384,16384,16384,128,8,128,verified_quick,,m128n256,along_m,4,8,24,124,24;16,8.176223754882812,6.85862398147583,6.970406436920166,1.075813637922397,1.2824865521079736,19.210847204419323,1.4783031400701483,5.950128078460693,86.75396252267429,0.011764830069592058,0.011883413979707552,0,20260909-223514-cdf939,66f8d678bd3e0470114a3cc7012a5f8bf3824219e41032347546751acb162370,20260908-162144-7a92bd,llama31_405b-cp8-s131072:comm8,llama31_405b-cp8-s131072:comm24,20260908-162144-7a92bd:16384x16384x16384
llama31_405b-cp4-s262144,llama31_405b,262144,4,oproj,65536,16384,16384,16384,128,8,128,verified_quick,,m128n256k64e32,along_m,4,8,24,124,32;24,32.839359283447266,29.01545524597168,30.170118713378905,1.071408604082198,1.2126079632583664,13.178852460040137,1.478422448682838,23.79859161376953,82.02039710224287,0.03336676485870418,0.10071983779081023,1,20260909-223537-f61863,66f8d678bd3e0470114a3cc7012a5f8bf3824219e41032347546751acb162370,20260908-162144-7a92bd,llama31_405b-cp4-s262144:comm8,llama31_405b-cp4-s262144:comm24,20260908-162144-7a92bd:65536x16384x16384
llama31_405b-cp8-s262144,llama31_405b,262144,8,oproj,32768,16384,16384,16384,128,8,128,blank,preflight_insufficient_free_memory,,,,,,,,,,,,,,1.5029377086705076,11.705199718475342,,,,,20260909-223600-39927c,,20260908-162144-7a92bd,,,20260908-162144-7a92bd:32768x16384x16384
llama31_405b-cp4-s524288,llama31_405b,524288,4,oproj,131072,16384,16384,16384,128,8,128,blank,previously_missing_or_oom,,,,,,,,,,,,,,,,,,,,,,,,,
llama31_405b-cp8-s524288,llama31_405b,524288,8,oproj,65536,16384,16384,16384,128,8,128,blank,preflight_insufficient_free_memory,,,,,,,,,,,,,,1.478422448682838,23.79859161376953,,,,,20260909-224603-7767d6,,20260908-162144-7a92bd,,,20260908-162144-7a92bd:65536x16384x16384
qwen25_72b-cp4-s131072,qwen25_72b,131072,4,oproj,32768,8192,8192,8192,64,8,128,verified_quick,,m128n256,along_m,8,8,24,124,32;24,4.646175861358643,3.15231990814209,3.1823743343353272,0.946594929322782,1.3951777228397213,47.38909745035998,1.515823414575366,2.9014240503311157,92.04091383101893,0.006877032908421071,0.009963440648118091,0,20260909-224609-9f894a,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen25_72b-cp4-s131072:comm8,qwen25_72b-cp4-s131072:comm24,20260908-135227-2a9f00:32768x8192x8192
qwen25_72b-cp8-s131072,qwen25_72b,131072,8,oproj,16384,8192,8192,8192,64,8,128,verified_quick,,m128n256k64e32,along_m,8,16,32,116,32;48,1.9264639616012573,1.7331520318984985,1.7417855978012085,1.1414816468843747,1.2687999754661945,11.153777980515912,1.4340009772136324,1.5334879755973816,88.47971484172658,0.0036211465951451176,0.005492878918678815,0,20260909-224623-de2139,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen25_72b-cp8-s131072:comm16,qwen25_72b-cp8-s131072:comm32,20260908-135227-2a9f00:16384x8192x8192
qwen25_72b-cp4-s262144,qwen25_72b,262144,4,oproj,65536,8192,8192,8192,64,8,128,verified_quick,,m128n256,along_m,8,8,24,124,32;24,9.207296371459961,6.3554558753967285,6.468780612945556,0.9553394033750694,1.3840223572725094,44.8723199716214,1.4924578597467035,5.893696069717407,92.73443455933841,0.0004013651594325991,0.009908985781218195,0,20260909-224641-bbaf2e,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen25_72b-cp4-s262144:comm8,qwen25_72b-cp4-s262144:comm24,20260908-135227-2a9f00:65536x8192x8192
qwen25_72b-cp8-s262144,qwen25_72b,262144,8,oproj,32768,8192,8192,8192,64,8,128,verified_quick,,m128n256k64e32,along_m,8,16,32,116,32;24,3.781888008117676,3.4196479320526123,3.4216127395629883,1.1629235190634317,1.2861109092198602,10.592905564042443,1.515823414575366,2.9014240503311157,84.84569487799763,0.009074800086846949,0.001871499653176805,0,20260909-224656-ce012f,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen25_72b-cp8-s262144:comm16,qwen25_72b-cp8-s262144:comm32,20260908-135227-2a9f00:32768x8192x8192
qwen25_72b-cp4-s524288,qwen25_72b,524288,4,oproj,131072,8192,8192,8192,64,8,128,verified_quick,,m128n256k64e32,along_m,8,8,24,124,32;24,18.529951095581055,13.005663871765137,13.67235221862793,0.9493919305923755,1.3526557519764946,42.47601105399135,1.4785198529097638,11.89851188659668,91.48715516497357,0.005524429103725969,0.07189849668856156,1,20260909-224714-410a1e,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen25_72b-cp4-s524288:comm8,qwen25_72b-cp4-s524288:comm24,20260908-135227-2a9f00:131072x8192x8192
qwen25_72b-cp8-s524288,qwen25_72b,524288,8,oproj,65536,8192,8192,8192,64,8,128,blank,preflight_insufficient_free_memory,,,,,,,,,,,,,,1.4924578597467035,5.893696069717407,,,,,20260909-224728-b58736,,20260908-135227-2a9f00,,,20260908-135227-2a9f00:65536x8192x8192
qwen3_235b-cp4-s131072,qwen3_235b,131072,4,oproj,32768,4096,8192,4096,64,4,128,verified_quick,,m128n256,along_m,8,16,32,116,32;24,2.0460479259490967,1.6842559576034546,1.685094380378723,1.0747662494425407,1.3056348387100338,21.4808186791537,1.4145777122670176,1.5545439720153809,92.2985586007579,0.003299969108853943,0.00436035143843008,0,20260909-224734-581f05,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp4-s131072:comm16,qwen3_235b-cp4-s131072:comm32,20260908-135227-2a9f00:32768x4096x8192
qwen3_235b-cp8-s131072,qwen3_235b,131072,8,oproj,16384,4096,8192,4096,64,4,128,verified_quick,,m128n256k64e32,along_m,8,16,32,116,32;48,1.1946560144424438,0.9376000165939331,0.9421504139900208,0.920358341216029,1.1726872955594128,27.416381537868475,1.4389404092171432,0.7641119956970215,81.49658512942966,0.007017910790010399,0.002986366836322063,0,20260909-224748-a4da10,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp8-s131072:comm16,qwen3_235b-cp8-s131072:comm32,20260908-135227-2a9f00:16384x4096x8192
qwen3_235b-cp4-s262144,qwen3_235b,262144,4,oproj,65536,4096,8192,4096,64,4,128,verified_quick,,m128n256,along_n,8,16,16,132,16;24,3.170912027359009,3.170912027359009,3.1734848976135255,1.3869973285783799,1.3869973285783799,0.0,1.4279594321144422,3.0799520015716553,97.13142386157232,0.0008023071678914123,0.0008023071678914123,0,20260909-224807-c20e64,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp4-s262144:comm16,qwen3_235b-cp4-s262144:comm16,20260908-135227-2a9f00:65536x4096x8192
qwen3_235b-cp8-s262144,qwen3_235b,262144,8,oproj,32768,4096,8192,4096,64,4,128,verified_quick,,m128n256k64e32,along_m,4,24,32,116,48;32,2.3295040130615234,2.2286720275878906,2.2359488010406494,0.9439877515651752,0.9866966643503936,4.5243079387846885,1.4145777122670176,1.5545439720153809,69.75202958408717,0.0032281891641168527,0.0013352977322403903,0,20260909-224821-1991f5,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp8-s262144:comm24,qwen3_235b-cp8-s262144:comm32,20260908-135227-2a9f00:32768x4096x8192
qwen3_235b-cp4-s524288,qwen3_235b,524288,4,oproj,131072,4096,8192,4096,64,4,128,verified_quick,,m128n256,along_n,4,16,16,132,16;24,6.472896099090576,6.472896099090576,6.473977756500244,1.3589115115633985,1.3589115115633985,0.0,1.4821611967844002,5.934639930725098,91.68446148176082,0.0013891705618569675,0.0013891705618569675,0,20260909-224840-445fed,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp4-s524288:comm16,qwen3_235b-cp4-s524288:comm16,20260908-135227-2a9f00:131072x4096x8192
