model,projection,seq,cp,m,n,k,b_pflops,w_pflops,b_pure_pflops,w_pure_pflops,b_p50_ms,w_p50_ms,b_status,w_status,comm_ctas,tile_m,tile_n,tile_k,epilogue_n,swizzle,along_m,b_run_id,w_run_id,b_to_pure
"artificial_small","qkv",16384,4,4096,4096,4096,0.5467465144024216,1.4065719146140605,1.305659651538942,1.28553343818096,0.25137600305,0.09771199896999999,"passed","passed",16,128,128,64,0,1,false,"20260910-154445-6c71f2","20260910-154445-6c71f2",0.4187511758964044
"artificial_small","qkv",16384,8,2048,4096,4096,0.4742152351678653,1.2576771268991693,1.1712482455134419,1.1456301415708197,0.14491199700000001,0.054639998825,"passed","passed",16,128,128,64,0,1,false,"20260910-154605-b0d05f","20260910-154605-b0d05f",0.40488020962625465
"artificial_small","qkv",65536,4,16384,4096,4096,0.6473442611189595,1.268682869471985,1.4430195200459683,1.3400834175695642,0.849247992,0.4333280027,"passed","passed",16,128,128,64,0,1,false,"20260910-154504-ef92db","20260910-154504-ef92db",0.44860395311793005
"artificial_small","qkv",65536,8,8192,4096,4096,0.6104491088992666,1.3221386413938199,1.3923226364111914,1.2639691754780105,0.4502879977,0.2079039961,"passed","passed",16,128,128,64,0,1,false,"20260910-154634-3d7a8e","20260910-154634-3d7a8e",0.43843940544753457
"artificial_small","qkv",131072,4,32768,4096,4096,0.6744410874501322,1.2474491045618803,1.4377361902369172,1.447274303334885,1.6302559975,0.88140800595,"passed","passed",16,128,128,64,0,1,false,"20260910-154504-ef92db","20260910-154504-ef92db",0.46909933270789717
"artificial_small","qkv",131072,8,16384,4096,4096,0.6505678051739117,1.2788825650958244,1.4430195200459683,1.3400834175695642,0.84503999355,0.42987200615,"passed","passed",16,128,128,64,0,1,false,"20260910-154634-3d7a8e","20260910-154634-3d7a8e",0.450837841163221
"artificial_small","qkv",262144,4,65536,4096,4096,0.6873597119960881,"",1.46256775767655,1.482604876035735,3.199232101,"","passed","unstable",16,128,128,64,0,1,false,"20260910-154527-e9fa57","20260910-155358-215200",0.4699677730405016
"artificial_small","qkv",262144,8,32768,4096,4096,0.6747125893073114,"",1.4377361902369172,1.447274303334885,1.6295999885,"","passed","unstable",16,128,128,64,0,1,false,"20260910-154707-797140","20260910-155426-cf3d81",0.4692881725375007
"artificial_small","qkv",524288,4,131072,4096,4096,"","",1.4709185608950592,1.4128617525204734,"","","skipped_memory_precheck","skipped_memory_precheck",16,128,128,64,0,1,false,"","",""
"artificial_small","qkv",524288,8,65536,4096,4096,0.6840855859727029,1.0769136776261743,1.46256775767655,1.482604876035735,3.214544058,2.041967988,"passed","passed",16,128,128,64,0,1,false,"20260910-155426-cf3d81","20260910-155426-cf3d81",0.4677291581071418
"artificial_medium","qkv",16384,4,4096,5120,5120,0.5866928635963141,1.4228530657228664,1.3504148089177568,1.2629879212963275,0.36603200435,0.15092799810000002,"passed","passed",16,128,128,64,0,1,false,"20260910-154445-6c71f2","20260910-154445-6c71f2",0.43445381354081775
"artificial_medium","qkv",16384,8,2048,5120,5120,0.49688184531319546,1.2955379496035095,1.2306778477965301,1.180247346532059,0.21609600635,0.08287999779,"passed","passed",16,128,128,64,0,1,false,"20260910-154605-b0d05f","20260910-154605-b0d05f",0.4037464769540125
"artificial_medium","qkv",65536,4,16384,5120,5120,0.6399624610509148,1.2314117905908057,1.4284180339323636,1.4047225780176664,1.3422560095,0.6975679994,"passed","passed",16,128,128,64,0,1,false,"20260910-155358-215200","20260910-154504-ef92db",0.4480218296384358
"artificial_medium","qkv",65536,8,8192,5120,5120,0.6286397363513875,1.2748038709216538,1.377157045445176,1.2685985630947574,0.68321600555,0.33691200615,"passed","passed",16,128,128,64,0,1,false,"20260910-154634-3d7a8e","20260910-154634-3d7a8e",0.45647643341081345
"artificial_medium","qkv",131072,4,32768,5120,5120,0.6794544404479056,"",1.4634616214467029,1.4228342415906092,2.5284799335,"","passed","unstable",16,128,128,64,0,1,false,"20260910-154527-e9fa57","20260910-155358-215200",0.4642789605758379
"artificial_medium","qkv",131072,8,16384,5120,5120,0.6542738264293081,"",1.4284180339323636,1.4047225780176664,1.3128959535,"","passed","unstable",16,128,128,64,0,1,false,"20260910-154634-3d7a8e","20260910-155426-cf3d81",0.45804086120932325
"artificial_medium","qkv",262144,4,65536,5120,5120,0.6924395590517962,"",1.4582245551161754,1.4496018272498723,4.9621281625,"","passed","unstable",16,128,128,64,0,1,false,"20260910-154527-e9fa57","20260910-155358-215200",0.4748511171495327
"artificial_medium","qkv",262144,8,32768,5120,5120,0.682477455343585,"",1.4634616214467029,1.4228342415906092,2.517280102,"","passed","unstable",16,128,128,64,0,1,false,"20260910-154707-797140","20260910-155426-cf3d81",0.46634462109701436
