model,sequence,cp,m,n,k,auto_pflops,manual_same_run_pflops,manual_saved_pflops,pure_cublaslt_pflops,auto_over_manual_same_run,auto_over_manual_saved,auto_over_pure_cublaslt,epilogue_n,raster,swizzle,auto_comm_ctas,manual_comm_ctas,auto_run_id,manual_saved_run_id
QwenDense,131072,4,32768,4096,2048,1.4688671079813098,1.5779443714250088,1.555161499250571,2.36458181089442,0.9308738220313854,0.9445109775988885,0.6211953002487575,32,along_m,8,64,56,20260911-210229-68dd21,20260911-150503-cce0dd
QwenDense,262144,4,65536,4096,2048,1.5362143232932448,1.6246123040359235,1.6314003758286335,2.6993274280734463,0.9455882609511961,0.9416537755258019,0.5691100336018391,32,along_m,8,64,56,20260911-210636-857f29,20260911-150624-db15af
QwenDense,524288,4,131072,4096,2048,1.544188523508146,1.714130114633245,1.7469869170399883,2.462269366000325,0.9008584064451493,0.8839153335644584,0.6271403709239594,32,along_m,8,64,48,20260911-211103-b2c070,20260911-150735-249fe1
QwenDense,131072,8,16384,4096,2048,1.134808716297702,1.1778327782894926,1.1806658609867502,2.3831140703210747,0.9634718418566409,0.9611599299985496,0.47618732583153706,32,along_n,1,64,72,20260911-210018-5457fa,20260911-145723-8ae104
QwenDense,262144,8,32768,4096,2048,1.3830752542015834,1.3799645749351324,1.388272264815427,2.36458181089442,1.0022541732758592,0.9962564903545525,0.5849132594310303,32,along_m,8,64,64,20260911-210420-523f69,20260911-145935-eea4b7
QwenDense,524288,8,65536,4096,2048,1.4770758659742282,1.4814702082149898,1.4880787943054485,2.6993274280734463,0.9970337964162936,0.9926059504554959,0.5472014438161144,32,along_m,8,64,64,20260911-210841-dd1922,20260911-150335-1a12bc
Qwen3 235B,131072,4,32768,9216,4096,1.7522730762417547,1.8121163148876265,1.8121163148876265,2.634186113885322,0.966976049962012,0.966976049962012,0.6652047351571602,32,along_n,2,32,24,20260911-210246-c2e9f0,20260911-150130-c48564
Qwen3 235B,262144,4,65536,9216,4096,1.8791901186774094,1.9553563544078527,1.9518019641918845,2.6440284991980425,0.961047388851272,0.9627975343571605,0.710729902967152,32,along_n,2,16,20,20260911-210653-6a587b,20260911-145921-3789f0
Qwen3 235B,524288,4,131072,9216,4096,1.9839649728926891,2.0240052286873214,2.0325126302878465,2.6132280176874176,0.9802173160290695,0.9761144621333635,0.7592008655442183,32,along_n,2,16,20,20260911-211119-91f15b,20260911-150320-1fd4f3
Qwen2.5 72B,131072,4,32768,10240,8192,1.9192810855860742,2.087418180118789,2.096601736582421,2.8066177856170964,0.9194521269700033,0.9154247333185036,0.6838412752251829,32,along_m,8,16,32,20260911-210302-062060,20260911-150357-b496c1
