model,sequence,cp,m,n,k,comm_ctas,compute_ctas,m_window_tiles,n_group_tiles,swizzle,fused_pflops,compute_pflops,cublaslt_pflops,fused_over_compute,fused_over_cublaslt,run_id,candidate_id
bloom_176b,131072,4,32768,14336,14336,48,100,64,4,8,1.945557587605231,2.0999770322299485,2.72633632,0.9264661268886637,0.7136161350794867,20260912-213939-fd0b1a,3
bloom_176b,262144,4,65536,14336,14336,48,100,64,4,8,1.9805630881840748,2.1093538563263903,2.70841158,0.938943023828816,0.7312637055643053,20260912-214457-6a1502,3
bloom_176b,524288,4,131072,14336,14336,20,128,64,4,8,2.000706094929515,2.3252672478043115,2.70024304,0.8604198492963461,0.7409355622038803,20260912-215113-2842f0,1
bloom_176b,131072,8,16384,14336,14336,48,100,64,4,8,1.8778661280760016,2.117056365633317,2.69111667,0.8870175393342626,0.6978018266580771,20260912-213818-fde80d,3
bloom_176b,262144,8,32768,14336,14336,32,116,64,4,8,1.8951911371107661,2.2358451761369085,2.72633632,0.847639701236056,0.6951420935149946,20260912-214330-7fa798,2
bloom_176b,524288,8,65536,14336,14336,32,116,64,4,8,1.9647196436803187,2.257832369551135,2.70841158,0.8701795891388128,0.7254139873675768,20260912-214920-66ceb9,2
kimi_k3_kda,131072,4,32768,7168,12288,48,100,64,4,4,1.989123412979582,2.1085138269108494,2.74689555,0.9433769831587093,0.7241350742220912,20260912-213759-127af6,3
kimi_k3_kda,262144,4,65536,7168,12288,48,100,64,4,4,1.932074540935971,2.0539494812407546,2.73420706,0.9406631266163561,0.7066306605674447,20260912-214306-ff3a2c,3
kimi_k3_kda,524288,4,131072,7168,12288,20,128,64,4,4,1.9850903193749854,2.3762156541906885,2.71254981,0.8353998997835422,0.7318170940333757,20260912-214850-fff6bb,1
kimi_k3_kda,131072,8,16384,7168,12288,48,100,64,4,4,1.8103128759143008,2.0953493972501644,2.75016208,0.863967068351497,0.65825679478291,20260912-213643-a007c9,3
kimi_k3_kda,262144,8,32768,7168,12288,48,100,64,4,4,1.8782655226367069,2.0780902546993705,2.74689555,0.9038421302391548,0.6837775548606888,20260912-214144-c7f120,3
kimi_k3_kda,524288,8,65536,7168,12288,48,100,64,4,4,1.8850962571127587,2.035288349141142,2.73420706,0.9262059884085898,0.6894489757892581,20260912-214723-856b17,3
llama31_405b,131072,4,32768,16384,16384,48,100,64,4,8,1.9690042256962033,2.106804257125002,2.69677847,0.9345928645422218,0.7301319880739789,20260912-214003-cec5c4,3
