model,operation,cp,sequence,pflops_per_gpu,p50_ms,p95_ms,comm_ctas,compute_ctas,raster,swizzle,H,P,run,candidate
llama31_405b,a2a_oproj_residual_rmsnorm,4,131072,1.875998803594026,9.377503871917725,9.516570997238158,48,100,along_n,8,64,4,20260913-091011-5661bd,1
llama31_405b,a2a_oproj_residual_rmsnorm,8,131072,1.8230275053186753,4.824991941452026,5.018081784248352,40,108,along_n,8,64,4,20260913-091026-3fdfa2,1
llama31_405b,a2a_oproj_residual_rmsnorm,8,262144,1.845019426003618,9.53495979309082,9.608563327789307,40,108,along_n,8,64,4,20260913-091049-76dfbd,1
llama31_405b,a2a_oproj_residual_rmsnorm,8,524288,1.8509097521439777,19.009231567382812,19.541990089416505,48,100,along_n,8,64,4,20260913-091113-23c838,1
llama31_70b,a2a_oproj_residual_rmsnorm,4,131072,1.788207638313634,2.4594719409942627,2.485433614253998,48,100,along_n,8,64,4,20260913-091141-e8306c,1
llama31_70b,a2a_oproj_residual_rmsnorm,4,262144,1.771325926351837,4.965824127197266,5.088814377784729,32,116,along_n,8,64,4,20260913-091157-6ab8f5,1
llama31_70b,a2a_oproj_residual_rmsnorm,4,524288,1.7890019199242564,9.83351993560791,10.096179246902466,48,100,along_n,8,64,4,20260913-091215-0e467b,1
llama31_70b,a2a_oproj_residual_rmsnorm,8,131072,1.6813543693497937,1.3078880310058594,1.3209135830402374,40,108,along_m,8,64,8,20260913-091230-4aefec,1
llama31_70b,a2a_oproj_residual_rmsnorm,8,262144,1.760818843543921,2.4977279901504517,2.5250880122184753,40,108,along_m,8,64,8,20260913-091253-1607b0,1
llama31_70b,a2a_oproj_residual_rmsnorm,8,524288,1.752271189810217,5.019824028015137,5.222023868560791,40,108,along_m,8,64,8,20260913-092709-0ae5ef,1
qwen3_235b,a2a_oproj_residual_rmsnorm,4,131072,1.7105247108700268,1.285584032535553,1.289684808254242,48,100,along_n,2,64,4,20260913-091339-436104,1
qwen3_235b,a2a_oproj_residual_rmsnorm,4,262144,1.730456978847696,2.5415520668029785,2.6218544483184814,40,108,along_n,2,64,4,20260913-091355-45b50a,1
qwen3_235b,a2a_oproj_residual_rmsnorm,4,524288,1.6867659568755025,5.214767932891846,5.337292742729187,40,108,along_n,2,64,4,20260913-091411-236490,1
qwen3_235b,a2a_oproj_residual_rmsnorm,8,131072,1.539863186237884,0.7140320241451263,0.7160672038793564,40,108,along_n,2,64,4,20260913-091429-f7b77a,1
qwen3_235b,a2a_oproj_residual_rmsnorm,8,262144,1.640024302756363,1.3408479690551758,1.3446719646453857,48,100,along_n,2,64,4,20260913-091452-bdeed4,1
qwen3_235b,a2a_oproj_residual_rmsnorm,8,524288,1.6792385155960567,2.6190719604492188,2.6367807745933534,40,108,along_n,2,64,4,20260913-091515-c30d47,1
llama31_405b,qkv_rope_a2a,4,131072,1.9809243189307937,9.990896224975586,10.127958297729492,24,124,along_m,8,0,0,20260913-055552-561993,1
llama31_405b,qkv_rope_a2a,4,262144,2.024525417276887,19.5514554977417,19.701972007751465,24,124,along_m,8,0,0,20260913-055615-bc98b5,1
llama31_405b,qkv_rope_a2a,4,524288,2.03880748098209,38.8289909362793,38.97343273162842,24,124,along_m,8,0,0,20260913-055633-d5f3ce,1
llama31_405b,qkv_rope_a2a,8,131072,1.873684963117001,5.281359910964966,5.5284528732299805,40,108,along_m,8,0,0,20260913-055656-8d6bf2,1
llama31_405b,qkv_rope_a2a,8,262144,1.8601431928163545,10.639616012573242,10.837477016448975,48,100,along_m,8,0,0,20260913-055720-c74ed1,1
llama31_405b,qkv_rope_a2a,8,524288,1.9983240323754814,19.80780792236328,19.9580322265625,40,108,along_m,8,0,0,20260913-055743-a7b243,1
llama31_70b,qkv_rope_a2a,4,131072,2.0268122706204452,2.7124160528182983,2.7222415804862976,40,108,along_m,8,0,0,20260913-055811-fdebd9,1
llama31_70b,qkv_rope_a2a,4,262144,2.0147730748519446,5.457247972488403,5.6490751028060915,40,108,along_m,8,0,0,20260913-055827-cb3b97,1
llama31_70b,qkv_rope_a2a,4,524288,1.995727337400498,11.018655776977539,11.13245611190796,40,108,along_m,8,0,0,20260913-055843-5e819a,1
llama31_70b,qkv_rope_a2a,8,131072,1.8008625900726463,1.5263680219650269,1.5576656103134154,40,108,along_m,8,0,0,20260913-055859-89bcca,1
llama31_70b,qkv_rope_a2a,8,262144,1.8581871442841897,2.958559989929199,2.9871280074119566,48,100,along_m,8,0,0,20260913-055921-f0efde,1
llama31_70b,qkv_rope_a2a,8,524288,1.9833319184548175,5.543760061264038,5.655611205101013,40,108,along_m,8,0,0,20260913-055945-305374,1
qwen3_235b,qkv_qknorm_rope_a2a,4,131072,1.7178533138576433,1.4401119947433472,1.4527903616428375,44,104,along_n,2,0,0,20260913-060008-05c788,1
qwen3_235b,qkv_qknorm_rope_a2a,4,262144,1.8158511995197342,2.724784016609192,2.735977566242218,44,104,along_n,2,0,0,20260913-060024-0f3e04,1
qwen3_235b,qkv_qknorm_rope_a2a,4,524288,1.824760752726215,5.422960042953491,5.584726309776306,44,104,along_n,2,0,0,20260913-060040-da3322,1
llama31_405b,a2a_oproj_residual_rmsnorm,4,262144,,,,,,,,,,20260913-004947-00929b,
llama31_405b,a2a_oproj_residual_rmsnorm,4,524288,,,,,,,,,,20260913-005858-8bbb32,
