models,cp,sequence,m,n,k,fused_pflops,fused_p50_ms,fused_p95_ms,cutlass_same_budget_pflops,cublaslt_full_device_historical_pflops,fused_over_cublaslt,v21_historical_pflops,comm_ctas,compute_ctas,m_window,n_group,swizzle,epilogue_n,run,candidate
bloom_176b,4,131072,32768,14336,14336,2.2747845860493827,5.921007871627808,6.124289536476136,2.436007542523207,2.72633632,0.8343741633641819,1.945557587605231,4,144,0,0,8,32,20260913-150220-7fbea5,1
bloom_176b,4,262144,65536,14336,14336,2.3418578193076085,11.502848148345947,11.700176191329955,2.4636367294924595,2.70841158,0.864660983065066,1.9805630881840748,8,140,0,0,8,32,20260913-150238-be6169,1
bloom_176b,4,524288,131072,14336,14336,2.355062567244059,22.876704216003418,22.948916530609132,2.464873960770922,2.70024304,0.8721668873347264,2.000706094929515,8,140,0,0,8,32,20260913-150256-6b2be4,1
bloom_176b,8,131072,16384,14336,14336,2.2625991974903936,2.9764479398727417,3.017537546157837,2.445639559681984,2.69111667,0.8407659254291616,1.8778661280760016,4,144,0,0,8,32,20260913-150319-79e783,1
bloom_176b,8,262144,32768,14336,14336,2.2388599740710777,6.016016006469727,6.128790473937988,2.4343873033917753,2.72633632,0.8211972813651537,1.8951911371107661,4,144,0,0,8,32,20260913-150342-10d49e,1
bloom_176b,8,524288,65536,14336,14336,2.296999560904213,11.727488040924072,11.748714923858643,2.4673989247622266,2.70841158,0.848098412318933,1.9647196436803187,8,140,0,0,8,32,20260913-150411-b9f77b,1
llama31_405b,4,131072,32768,16384,16384,2.2732729047896547,7.738703966140747,7.861723232269287,2.459091927510445,2.69677847,0.8429587116919006,1.9690042256962033,8,140,0,0,8,32,20260913-150439-6eef46,1
llama31_405b,4,262144,65536,16384,16384,2.3411822034698004,15.02846384048462,15.072564935684204,2.4745829657081053,2.69672219,0.8681584673984533,1.9887866619864847,8,140,0,0,8,32,20260913-150457-aa05c4,1
llama31_405b,4,524288,131072,16384,16384,2.366053677752544,29.740975379943848,29.934123706817626,2.4565453901677032,2.69102792,0.8792378779007778,1.9971005073649233,8,140,0,0,8,32,20260913-150520-c05060,1
llama31_405b,8,131072,16384,16384,16384,2.2470287177968986,3.914544105529785,3.984721636772156,2.457887958315064,2.72299233,0.8252056728330552,1.9034086494298725,4,144,0,0,8,32,20260913-150543-a4f1bb,1
llama31_405b,8,262144,32768,16384,16384,2.2670389535847906,7.759984016418457,7.95315375328064,2.4535440615196173,2.69677847,0.8406470827337889,1.9125700711248668,4,144,0,0,8,32,20260913-150606-6e4a7a,1
llama31_405b,8,524288,65536,16384,16384,2.311396428056654,15.222127914428711,15.270531177520752,2.481446694441967,2.69672219,0.857113289840454,1.9648644799041224,8,140,0,0,8,32,20260913-150635-ea3b4e,1
qwen3_235b,4,131072,32768,4096,8192,2.184518018699761,1.0066400170326233,1.0135968446731567,2.5346984794325023,2.81003793,0.7773980540895264,1.866692323328463,16,132,0,0,2,32,20260913-150708-ea9eb2,1
qwen3_235b,4,262144,65536,4096,8192,2.316497522396313,1.8985759615898132,1.9114479959011077,2.5233898929438388,2.72426067,0.8503215378417929,1.9235009175998867,16,132,0,0,8,32,20260913-150723-60b5d5,1
qwen3_235b,4,524288,131072,4096,8192,2.3079298104992247,3.8112480640411377,3.9471360087394713,2.5644944760262494,2.69432669,0.8565887050984247,1.940193734267345,16,132,0,0,8,32,20260913-150739-3b6eea,1
qwen3_235b,8,131072,16384,4096,8192,2.1168553255807048,0.5194080173969269,0.5221616238355636,2.565499721338187,2.61161691,0.8105535377241468,1.6136636151561001,16,132,0,0,8,32,20260913-150757-d97593,1
qwen3_235b,8,262144,32768,4096,8192,2.149734151997479,1.02292799949646,1.0312736451625824,2.460109806772884,2.81003793,0.7650196209264261,1.8724397871324594,16,132,0,0,2,32,20260913-150820-ee7d49,1
qwen3_235b,8,524288,65536,4096,8192,2.263394183008462,1.943120002746582,1.9532832324504852,2.5204514131003055,2.72426067,0.830828785194209,1.8775043546409897,16,132,0,0,8,32,20260913-150843-1f515b,1
representative_large,4,131072,32768,7168,16384,2.279987623846754,3.3757119178771973,3.432464015483856,2.404628586740697,2.67212724,0.8532481499072454,1.9508169060509122,12,136,64,16,4,32,20260913-150911-94132a,1
representative_large,4,262144,65536,7168,16384,2.2316176526719547,6.897759914398193,7.0281696081161495,2.3372382119136037,2.67424411,0.8344853950793425,1.9502198015455061,12,136,64,16,4,32,20260913-150927-ef3cd1,1
representative_large,4,524288,131072,7168,16384,2.2819398522570054,13.49129581451416,13.575408315658569,2.334470538047827,2.67130733,0.8542408530197105,1.9830334866387196,12,136,0,0,4,32,20260913-150945-c9770d,1
representative_large,8,131072,16384,7168,16384,2.181175066046741,1.7643199563026428,1.7776368260383606,2.3831141228681965,2.67150397,0.8164596012360562,1.8241249621403157,12,136,64,16,4,32,20260913-151008-d34895,1
representative_large,8,262144,32768,7168,16384,2.262082379277323,3.4024319648742676,3.493577575683594,2.400021569918414,2.67212724,0.846547404410773,1.882187589111285,12,136,64,16,4,32,20260913-151031-1cb6d8,1
