operator,models,sequence,cp,m,n,k,h,a,p50_ms,pflops,cublaslt_pflops,cublaslt_retention,before_prefetch_pflops,prefetch_gain_pct,comm_ctas,raster,swizzle,epilogue_n,weight_raster,weight_swizzle,weight_epilogue_n,m_window,n_group,run
oproj_forward,bloom_176b,131072,4,32768,14336,14336,,,5.9716960191726685,2.255476065260607,2.72633632,0.8272919407318782,,,4,along_n,8,32,,,,0,0,20260914-082335-cb5c8f
oproj_forward,bloom_176b,262144,4,65536,14336,14336,,,11.50162410736084,2.3421070475840127,2.70841158,0.8647530031547173,,,8,along_n,8,32,,,,0,0,20260914-082351-f96a87
oproj_forward,bloom_176b,524288,4,131072,14336,14336,,,22.842559814453125,2.358582847047427,2.70024304,0.8734705773178947,,,8,along_n,8,32,,,,0,0,20260914-082409-7f776d
oproj_forward,bloom_176b,131072,8,16384,14336,14336,,,3.0250880122184753,2.2262191026928795,2.69111667,0.8272473384414357,,,4,along_n,8,32,,,,0,0,20260914-082432-e754cf
oproj_forward,bloom_176b,262144,8,32768,14336,14336,,,6.028607964515686,2.2341836655384584,2.72633632,0.8194820459782667,,,4,along_n,8,32,,,,0,0,20260914-082455-345ed5
oproj_forward,bloom_176b,524288,8,65536,14336,14336,,,11.722375869750977,2.2980012908496046,2.70841158,0.8484682711516115,,,8,along_n,8,32,,,,0,0,20260914-082518-267d89
oproj_forward,llama31_405b,131072,4,32768,16384,16384,,,7.659343957901001,2.2968267440540737,2.69677847,0.8516927769947947,,,8,along_n,8,32,,,,0,0,20260914-082547-3bdb2d
oproj_forward,llama31_405b,262144,4,65536,16384,16384,,,14.998199939727783,2.3459063241072244,2.69672219,0.8699102684015162,,,8,along_n,8,32,,,,0,0,20260914-082602-038e70
oproj_forward,llama31_405b,524288,4,131072,16384,16384,,,29.690175533294678,2.370101992113594,2.69102792,0.8807422526160911,,,8,along_n,8,32,,,,0,0,20260914-082620-675aa5
oproj_forward,llama31_405b,131072,8,16384,16384,16384,,,3.902392029762268,2.254025980763356,2.72299233,0.8277753690049343,,,4,along_n,8,32,,,,0,0,20260914-082643-d7f45b
oproj_forward,llama31_405b,262144,8,32768,16384,16384,,,7.780551910400391,2.2610460346521486,2.69677847,0.8384248316296253,,,4,along_n,8,32,,,,0,0,20260914-082706-23b3e4
oproj_forward,llama31_405b,524288,8,65536,16384,16384,,,15.216736078262329,2.312215438834756,2.69672219,0.8574169958659168,,,8,along_n,8,32,,,,0,0,20260914-082729-7c1b13
oproj_forward,qwen3_235b,131072,4,32768,4096,8192,,,1.0238159894943237,2.1478696153574695,2.81003793,0.7643560937120409,,,16,along_n,2,32,,,,0,0,20260914-082757-b2a3aa
oproj_forward,qwen3_235b,262144,4,65536,4096,8192,,,1.9107199609279633,2.301774514862993,2.72426067,0.8449171330080514,,,16,along_n,8,32,,,,0,0,20260914-082813-616d48
oproj_forward,qwen3_235b,524288,4,131072,4096,8192,,,3.845024049282074,2.2876561783405145,2.69432669,0.8490641416392288,,,16,along_n,8,32,,,,0,0,20260914-082829-948c97
oproj_forward,qwen3_235b,131072,8,16384,4096,8192,,,0.5051120072603226,2.176767948439084,2.61161691,0.8334943536719113,,,16,along_n,8,32,,,,0,0,20260914-082845-6686ca
oproj_forward,qwen3_235b,262144,8,32768,4096,8192,,,1.027671992778778,2.1398104366023847,2.81003793,0.7614880972807313,,,16,along_n,2,32,,,,0,0,20260914-082913-a9d39b
oproj_forward,qwen3_235b,524288,8,65536,4096,8192,,,1.922767996788025,2.2873516297602814,2.72426067,0.8396228947357969,,,16,along_n,8,32,,,,0,0,20260914-082936-224b8e
oproj_forward,representative_large,131072,4,32768,7168,16384,,,3.39000803232193,2.2703726129994903,2.67212724,0.8496498890522483,,,12,along_n,4,32,,,,64,16,20260914-082959-b66e53
oproj_forward,representative_large,262144,4,65536,7168,16384,,,6.908007979393005,2.2283070365266964,2.67424411,0.8332474317487405,,,12,along_n,4,32,,,,64,16,20260914-083015-ab90f3
oproj_forward,representative_large,524288,4,131072,7168,16384,,,13.477112293243408,2.2843414010256753,2.67130733,0.8551398692960107,,,12,along_n,4,32,,,,0,0,20260914-083031-c3678f
