model,cp,global_sequence,old_pflops,pflops,gain_pct,run_id
QwenDense,4,131072,1.5329246037529418,1.592350437602224,3.8766312252927815,20260914-150850-255ec1
QwenDense,4,262144,1.6801006520314137,1.7110145293054773,1.8400015044744755,20260914-150909-57a31d
QwenDense,4,524288,1.7079951684102297,1.7071359679469649,-0.05030461907363781,20260914-150927-5ef75c
QwenDense,8,131072,1.18543170993873,1.2384119034276095,4.469274193080075,20260914-150944-c3b79a
QwenDense,8,262144,1.360673943380445,1.4048178849962407,3.244270372821645,20260914-151008-fa88a1
QwenDense,8,524288,1.4757277495893224,1.5018352958506411,1.7691302659710972,20260914-151033-f0afce
Qwen3 235B,4,131072,2.0025102155501773,2.035261544886069,1.6355137208073245,20260914-151057-d5c96d
Qwen3 235B,4,262144,2.0468673279893492,2.108649328558752,3.0183685930485593,20260914-151114-c22355
Qwen3 235B,4,524288,2.069645570798622,2.0965583257046134,1.3003557365431684,20260914-151131-cf9cc8
Qwen2.5 72B / Llama 3.1 70B,4,131072,2.2041085231383293,2.258651645199553,2.474611458040288,20260914-151149-0c3b0b
Qwen2.5 72B / Llama 3.1 70B,4,262144,2.1545431770987995,2.1853968815776565,1.4320299916385615,20260914-151206-497a07
Qwen2.5 72B / Llama 3.1 70B,4,524288,2.1499325855270075,2.1549332996087553,0.2325986459022822,20260914-151223-1e4ecd
Qwen2.5 72B / Llama 3.1 70B,8,131072,2.0655087273695956,2.159224436568809,4.537173237634273,20260914-151243-a51beb
Qwen2.5 72B / Llama 3.1 70B,8,262144,2.155012700546714,2.193744215426358,1.797275481013072,20260914-151308-a68131
Qwen2.5 72B / Llama 3.1 70B,8,524288,2.2384049058125988,2.256878837962703,0.8253168183348869,20260914-151332-03159e
Llama 3.1 405B,4,131072,2.290891063238428,2.3178713450174016,1.1777199803134186,20260914-151357-1cf2e8
Llama 3.1 405B,4,262144,2.3393897279463487,2.3540191889246307,0.6253537323652525,20260914-151415-700d84
Llama 3.1 405B,4,524288,2.379330004340245,2.378791696143089,-0.02262436047854033,20260914-151436-35fb89
Llama 3.1 405B,8,131072,2.2247272893159264,2.2794125245048993,2.4580646559061003,20260914-151500-85a0c0
Llama 3.1 405B,8,262144,2.249129826178379,2.257555097172585,0.3746013634313927,20260914-151525-fa21e6
Llama 3.1 405B,8,524288,2.3616022757458226,2.3742160795760032,0.5341205824421547,20260914-151556-a3ba56
Kimi K3 QKV-only,4,131072,2.127111549636271,2.1524804193220772,1.1926440665579685,20260914-151625-1dd9c7
Kimi K3 QKV-only,4,262144,2.178924594405506,2.202133931178906,1.0651739318098041,20260914-151643-6a7dd5
Kimi K3 QKV-only,4,524288,2.211693566218334,2.226027315787908,0.6480893098623319,20260914-151703-e0fc6c
Kimi K3 QKV-only,8,131072,2.049804817724343,2.1311616353823664,3.969003143838079,20260914-151727-2650ee
Kimi K3 QKV-only,8,262144,2.0885544458948915,2.1073971164313647,0.902187183748504,20260914-151752-56e761
Kimi K3 QKV-only,8,524288,2.133305023714001,2.1450258581892907,0.5494214069249326,20260914-151817-8a1982
BLOOM 176B,4,131072,2.299256062905807,2.321823790675803,0.9815230297348654,20260914-151847-7baf39
BLOOM 176B,4,262144,2.3268794557721733,2.3344068752606586,0.3234984721624645,20260914-151906-3ccfd4
BLOOM 176B,4,524288,2.374715177275076,2.3803271038434697,0.23631998574384916,20260914-151930-17375e
BLOOM 176B,8,131072,2.181210762916881,2.191768241384214,0.4840191808523242,20260914-152004-f03eea
BLOOM 176B,8,262144,2.2849311945709836,2.2992069037367044,0.6247763258534933,20260914-152034-29387e
BLOOM 176B,8,524288,2.2988479433289926,2.30731579871046,0.3683521307287885,20260914-152102-e881fd
