models,ep,h,f,experts,topk,target_rows,cohort,status,pflops,ms,reference_backend,reference_pflops,retention_pct,historical_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,buffer_rows,tail_balance,run,case_index,reference_run,reference_case
"deepseek_v41_flash","4","5120","2304","384","6","192","release_equivalent","valid","0.5436986978676878","1.5996559874999998","deepgemm_m256","1.0233283719955475","53.130423503009595","12.36765742421857","256","64","1","2","40","108","0","true","20260917-004117-491c8e","0","20260916-110545-5f35b2","7"
"deepseek_v41_flash","4","5120","2304","384","6","256","release_equivalent","valid","0.8881021739980478","1.3057519775","deepgemm_m256","1.3861755425838576","64.068521389622","17.056226323042267","256","64","1","2","40","108","0","true","20260917-004117-491c8e","1","20260916-110545-5f35b2","8"
"deepseek_v41_flash","4","5120","2304","384","6","384","release_equivalent","valid","0.9695131678249812","1.79416001","cutlass_stock","1.2327305642975153","78.6476133474851","17.642125464606686","256","64","0","1","40","108","0","true","20260917-004117-491c8e","2","20260916-110545-5f35b2","9"
"deepseek_v41_flash","4","5120","2304","384","6","512","release_equivalent","valid","1.007665127922537","2.301639975","deepgemm_m256","1.4076458413054436","71.58513159730813","16.4015221364062","256","64","0","1","40","108","0","true","20260917-004117-491c8e","3","20260916-110545-5f35b2","10"
"deepseek_v41_flash","4","5120","2304","384","6","1024","release_equivalent","valid","1.0986673265131697","4.221992015","deepgemm_m256","1.317669241192697","83.37959877690578","14.562602743340335","256","64","0","1","40","108","0","true","20260917-004117-491c8e","4","20260916-110545-5f35b2","11"
"deepseek_v41_flash","4","5120","2304","384","6","2048","release_equivalent","valid","1.1067189874553127","8.3825519075","deepgemm_m256","1.371226974408002","80.7101237147931","10.627219459302829","256","64","0","1","40","108","0","true","20260917-004117-491c8e","5","20260916-145815-6cf15a","0"
"deepseek_v41_flash","4","5120","2304","384","6","4096","release_equivalent","valid","1.1219454726847238","16.537576174999998","cutlass_stock","1.3313202544999085","84.27314681741747","20.135574976421864","256","64","0","1","40","108","0","true","20260917-004117-491c8e","6","20260916-145815-6cf15a","1"
"deepseek_v41_flash","4","5120","2304","384","6","8192","release_equivalent","insufficient_memory","","","cutlass_stock","1.2850195762491643","","","256","64","0","1","40","108","0","true","20260917-004117-491c8e","7","20260916-145815-6cf15a","2"
"deepseek_v4_flash","4","4096","2048","256","6","192","release_equivalent","valid","0.5064023781461657","0.814207986","deepgemm_m256","1.0240742145915835","49.44977335926056","16.090239380187054","256","64","0","2","40","108","0","true","20260917-004117-491c8e","8","20260916-111015-0569f7","7"
"deepseek_v4_flash","4","4096","2048","256","6","256","release_equivalent","valid","0.7882901596737483","0.69748799475","deepgemm_m256","1.3078566154071818","60.273439028966166","20.679926871243115","256","64","0","2","40","108","0","true","20260917-004117-491c8e","9","20260916-111015-0569f7","8"
"deepseek_v4_flash","4","4096","2048","256","6","384","release_equivalent","valid","0.8996423021381963","0.91662399475","deepgemm_m128","1.4028963941249402","64.12749408336389","17.427430567488965","256","64","0","2","40","108","0","true","20260917-004117-491c8e","10","20260916-111015-0569f7","9"
"deepseek_v4_flash","4","4096","2048","256","6","512","release_equivalent","valid","0.9549449474993227","1.1515279999999999","deepgemm_m256","1.3723752221283383","69.58337137698778","16.39352104334415","256","64","0","2","40","108","0","true","20260917-004117-491c8e","11","20260916-111015-0569f7","10"
"deepseek_v4_flash","4","4096","2048","256","6","1024","release_equivalent","valid","1.0574624120245548","2.0795919925","deepgemm_m256","1.4322141416396081","73.83409933475205","13.99274574288878","256","64","0","2","40","108","0","true","20260917-004117-491c8e","12","20260916-111015-0569f7","11"
"deepseek_v4_flash","4","4096","2048","256","6","2048","release_equivalent","valid","1.1255176406491416","3.9076959525","deepgemm_m256","1.3893952439131085","81.0077366811204","13.478227615509454","256","64","0","2","40","108","0","true","20260917-004117-491c8e","13","20260916-111015-0569f7","12"
"deepseek_v4_flash","4","4096","2048","256","6","4096","release_equivalent","valid","1.0968863654838679","8.019208195000001","deepgemm_m256","1.4039801077280853","78.12691643180362","18.531002049885004","256","64","0","2","40","108","0","true","20260917-004117-491c8e","14","20260916-145815-6cf15a","3"
"deepseek_v4_flash","4","4096","2048","256","6","8192","release_equivalent","valid","1.0305750526011423","17.070392124999998","cutlass_stock","1.2945292020455557","79.61002741171654","16.14552249191523","256","64","0","2","40","108","0","true","20260917-004117-491c8e","15","20260916-150438-18e6c9","0"
"deepseek_v4_pro","4","7168","3072","384","6","192","release_equivalent","valid","0.5839196870867134","2.7803440675","deepgemm_m256","0.9750268185017953","59.88755139924782","10.474385019615905","256","64","0","4","20","128","0","true","20260917-004117-491c8e","16","20260916-111410-8a63b1","7"
"deepseek_v4_pro","4","7168","3072","384","6","256","release_equivalent","valid","0.9888498447266704","2.18907201","deepgemm_m256","1.173254281164534","84.28265386299468","26.534712076465674","256","64","0","4","20","128","0","true","20260917-004117-491c8e","17","20260916-111410-8a63b1","8"
"deepseek_v4_pro","4","7168","3072","384","6","384","release_equivalent","valid","1.0927463562218775","2.97140801","cutlass_stock","1.1974497829419044","91.25613213918746","33.43977052818134","256","64","1","8","20","128","0","true","20260917-004117-491c8e","18","20260916-111410-8a63b1","9"
"deepseek_v4_pro","4","7168","3072","384","6","512","release_equivalent","valid","1.1395916642605612","3.7990160599999996","deepgemm_m256","1.2973834414597571","87.8376914521388","31.76654161077699","256","64","1","8","20","128","0","true","20260917-004117-491c8e","19","20260916-111410-8a63b1","10"
"deepseek_v4_pro","4","7168","3072","384","6","1024","release_equivalent","valid","1.1478085097361979","7.5436398975","deepgemm_m256","1.3502092344189993","85.00967705424594","30.41481345444883","256","64","1","8","20","128","0","true","20260917-004117-491c8e","20","20260916-150438-18e6c9","1"
"deepseek_v4_pro","4","7168","3072","384","6","2048","release_equivalent","valid","1.1371300335894894","15.2289603","cutlass_stock","1.3316621941081963","85.39177868235693","25.665201353240107","256","64","1","8","20","128","0","true","20260917-004117-491c8e","21","20260916-150438-18e6c9","2"
"deepseek_v4_pro","4","7168","3072","384","6","4096","release_equivalent","insufficient_memory","","","cutlass_stock","1.2947384397253818","","","256","64","1","8","20","128","0","true","20260917-004117-491c8e","22","20260916-150438-18e6c9","3"
"deepseek_v4_pro","4","7168","3072","384","6","8192","release_equivalent","insufficient_memory","","","cutlass_stock","1.2400343717972395","","","256","64","1","8","20","128","0","true","20260917-004117-491c8e","23","20260916-151118-91f449","0"
"deepseek_v32","4","7168","2048","256","8","192","release_equivalent","valid","0.5290051156487735","1.363983985","deepgemm_m256","1.0594891891553815","49.930204202507554","16.635972269131894","256","64","1","1","40","108","0","true","20260917-004117-491c8e","24","20260916-111910-8ecf06","7"
"deepseek_v32","4","7168","2048","256","8","256","release_equivalent","valid","0.843562296501941","1.1404879975","deepgemm_m256","1.342012531954159","62.85800440876626","24.005865305040164","256","64","1","1","40","108","0","true","20260917-004117-491c8e","25","20260916-111910-8ecf06","8"
"deepseek_v32","4","7168","2048","256","8","384","release_equivalent","valid","0.9463506434995823","1.5249199875","deepgemm_m128","1.293952502422363","73.13642824817391","18.668523091936983","256","64","1","8","40","108","0","true","20260917-004117-491c8e","26","20260916-111910-8ecf06","9"
"deepseek_v32","4","7168","2048","256","8","512","release_equivalent","valid","1.0042470208957595","1.9160080224999998","deepgemm_m256","1.4453782553168475","69.47987609482988","20.281333399270785","256","64","1","8","40","108","0","true","20260917-004117-491c8e","27","20260916-111910-8ecf06","10"
"deepseek_v32","4","7168","2048","256","8","1024","release_equivalent","valid","1.0912208575080244","3.526591955","deepgemm_m256","1.3582803180207708","80.33841343575571","17.49088313507483","256","64","1","8","40","108","0","true","20260917-004117-491c8e","28","20260916-111910-8ecf06","11"
"deepseek_v32","4","7168","2048","256","8","2048","release_equivalent","valid","1.0774334932399074","7.14343989","deepgemm_m256","1.3680515430816762","78.75679090371685","11.429676249435072","256","64","1","8","40","108","0","true","20260917-004117-491c8e","29","20260916-151118-91f449","1"
"deepseek_v32","4","7168","2048","256","8","4096","release_equivalent","valid","1.0848598209936091","14.18908","cutlass_stock","1.2985417378962556","83.54447064221218","9.492089162933738","256","64","1","8","40","108","0","true","20260917-004117-491c8e","30","20260916-151118-91f449","2"
"deepseek_v32","4","7168","2048","256","8","8192","release_equivalent","insufficient_memory","","","cutlass_stock","1.2853655727742301","","","256","64","1","8","40","108","0","true","20260917-004117-491c8e","31","20260916-151118-91f449","3"
"glm5/glm52/glm53","4","6144","2048","256","8","192","release_equivalent","valid","0.5269359722136967","1.1737200025","deepgemm_m256","1.0586414550993817","49.774734370687355","16.391642988975995","256","64","1","1","40","108","0","true","20260917-004236-2edc7e","0","20260916-112348-da320e","7"
"glm5/glm52/glm53","4","6144","2048","256","8","256","release_equivalent","valid","0.8518168879439514","0.96808801575","deepgemm_m256","1.3624724328564362","62.519935626008184","24.668832571487176","256","64","1","1","40","108","0","true","20260917-004236-2edc7e","1","20260916-112348-da320e","8"
