model,global_seq,cp,m,n,k,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu
small,1024,4,256,4096,4096,16,1,True,False,512,4,False,116,0.04388799890875816,0.047515200451016426,195.72399757524184
small,1024,8,128,4096,4096,8,1,True,False,512,4,False,124,0.05814399942755699,0.05961599946022034,73.86776517413811
small,4096,4,1024,4096,4096,8,1,True,False,512,8,False,124,0.07916799932718277,0.08468319997191429,434.0104418453126
small,4096,8,512,4096,4096,4,1,True,False,1024,4,False,128,0.09091199934482574,0.10244159810245035,188.97251526542072
small,16384,4,4096,4096,4096,8,1,True,False,512,4,False,124,0.25068800151348114,0.25243680328130724,548.2470347293786
small,16384,8,2048,4096,4096,8,1,True,False,512,4,False,124,0.22420799732208252,0.24173759371042247,306.4987759436703
medium,1024,4,256,5120,5120,8,1,True,False,512,4,False,124,0.04841599985957146,0.0508992001414299,277.217713956735
medium,1024,8,128,5120,5120,8,1,True,False,512,4,True,124,0.06361600011587143,0.0661040000617504,105.49054306741479
medium,4096,4,1024,5120,5120,12,1,True,True,512,4,False,120,0.10630399733781815,0.11198239848017691,505.033606867957
medium,4096,8,512,5120,5120,12,1,True,True,512,4,False,120,0.1292639970779419,0.1371439978480339,207.66451762909847
medium,16384,4,4096,5120,5120,8,1,True,True,512,4,False,124,0.3604799956083298,0.3908784061670303,595.7289375728058
medium,16384,8,2048,5120,5120,4,1,True,False,1024,4,False,128,0.2799680083990097,0.28334079682826996,383.5230425576718
large,1024,4,256,7168,16384,8,1,True,False,1024,4,False,124,0.12019199877977371,0.12169279865920543,500.2790764314903
large,1024,8,128,7168,16384,8,1,True,False,512,4,False,124,0.11585600301623344,0.11693439967930316,259.50119363074697
large,4096,4,1024,7168,16384,12,1,True,True,512,4,False,120,0.38940800726413727,0.3922735959291458,617.6508034999275
large,4096,8,512,7168,16384,4,1,True,True,512,4,False,128,0.25065600872039795,0.25299201160669327,479.777384559517
large,16384,4,4096,7168,16384,12,1,True,True,512,4,False,120,1.502415955066681,1.5777375757694245,640.3504109894126
large,16384,8,2048,7168,16384,4,1,True,True,512,4,False,128,0.8546399772167206,0.871246388554573,562.8526045769307
